,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
29,CJ,기타금융,A001040,12,2023,Annual,47203762893,14584098325,4114768676,3169893143,14306194154,47203762893,29310944319,15637197515,2931229527,3937378915,2502878954,17892818574,41352688159,29955292833,2039057889,62671945,806235809,524667990,5016996681,-2365324347,-2973540674,37.91,38.39,163.81,101.28,72.44,2.95,4.93,2039057889,27.56,-2.148915091,-3.885382117,0.201579715,-2.148915091,-3.919885032,-7.746918522,0.897645066,1.045350379,-5.345084269,-23.61195569,24.0300147,-48.70063869,0.876046434,2.311133262,1.410827564
31,CJ대한통운,운수창고업,A000120,12,2020,Annual,9643498960,2538547347,1420450433,25323774,3496200702,9643498960,5603556698,2807606984,897465414,419177668,441581338,4039942262,10781127150,9779955605,325337561,0,11591048,142623241,572347644,-315839526,-94015594,41.89,33.63,138.7,80.27,90.71,3.71,3.02,325337561.3,9.29,5.856003366,9.31651452,-0.646702199,5.856003366,2.72762806,11.91507213,10.52451919,3.514303471,5.908861262,180.2586901,-32.68673546,-0.904986941,1.117968405,2.668633968,1.92397931
32,CJ대한통운,운수창고업,A000120,12,2021,Annual,8993928516,2348222542,1371077751,25128745,3312064213,8993928516,4977570577,2448916061,826135988,261567095,170151224,4016357939,11343651787,10272323722,343880766,0,11493831,158279696,344143274,366409538,-877201845,44.66,31.29,123.93,70.06,90.56,3.93,3.03,343880765.7,9.44,-6.735837757,-7.497390396,-5.266759683,-6.735837757,-11.17122847,-12.77568139,-0.583778714,5.217679276,5.699681569,10.97749209,-39.87163613,-216.0112994,1.26125661,2.824362758,2.27895348
33,CJ대한통운,운수창고업,A000120,12,2022,Annual,9693299818,2956459493,1422739127,34299355,3364173934,9693299818,5658991480,3108759802,831449965,789578095,367116669,4034308339,12130712862,10944706303,411786887,0,11924772,196821784,622939080,-566860798,290402311,41.62,37.18,140.27,89.33,90.22,4.89,3.39,411786887.3,9.78,7.776038032,25.90201483,1.573330638,7.776038032,13.68982905,26.94431841,0.446932277,6.93833952,19.74699597,24.35062044,81.0115516,-254.7068892,1.251453384,3.006887883,2.143617446
34,CJ대한통운,운수창고업,A000120,12,2023,Annual,9357587267,2488306558,1433160225,29836220,3327912583,9357587267,5314491024,2622292400,864030638,365968798,218206030,4043096243,11767893663,10468766117,480234863,0,14010210,242876055,836599672,-80050816,-1055669537,43.21,34.39,131.45,79.59,88.96,6.01,4.08,480234863.2,11.04,-3.463346407,-15.83491795,-1.077867902,-3.463346407,-6.087665218,-15.64827883,0.21782926,-2.99091408,16.62218447,23.39897041,34.29879403,-85.87822332,1.257577763,2.910614281,2.214303046
36,CJ씨푸드,음식료품,A011150,12,2020,Annual,135332382,46306337,1886565,27738489,73428644,135332382,69472863,43728866,13324757,17470276,0,65859519,149049674,130486555,3962856,0,0,2105552,3449077,-5006200,1809035,48.67,27.65,105.49,56.82,87.55,3.23,2.66,3962855.96,12.45,6.272954432,20.91563643,-2.952673508,6.272954432,10.28894035,-23.81239292,2.341887272,-0.07996034,7.094230403,15.18601631,-52.64040009,7.505107148,1.101360013,2.263145499,2.145437334
37,CJ씨푸드,음식료품,A011150,12,2021,Annual,133389814,51224078,2571190,16745691,57953480,133389814,66278140,40773011,18843709,9404662,0,67111675,162142952,140111856,4499170,0,0,2204339,10911065,-2437292,-8790016,50.31,22.02,98.76,43.77,86.41,3.32,2.77,4499170.29,13.59,-1.435405164,10.6200173,-21.07510524,-1.435405164,-4.598519281,-6.759505266,1.901252877,8.784506298,13.53352229,4.691738793,216.347388,-51.31452998,1.215557224,2.416017064,2.446401664
38,CJ씨푸드,음식료품,A011150,12,2022,Annual,143409087,60241893,2981683,19897736,54722240,143409087,67719807,63686192,18327080,13489469,0,75689279,152701472,131165862,4135028,0,0,7419861,-905718,2360886,3602029,52.78,23.41,89.47,44.36,85.9,10.39,2.71,4135027.84,14.1,7.511272937,17.60464093,-5.575575444,7.511272937,2.175177215,56.19693135,12.78109062,-5.822935801,-8.093537252,236.6025371,-108.3009129,-196.8651274,1.064796347,2.017478222,2.254901169
39,CJ씨푸드,음식료품,A011150,12,2023,Annual,168208969,80537106,3636363,23783273,57570040,168208969,90158645,86175621,34460637,38044260,0,78050324,148348807,127479344,4139340,0,0,4435394,5511061,1501873,-6274051,46.4,23.3,115.51,50.22,85.93,5.77,2.79,4139339.99,14.07,17.29310361,33.68953396,5.204099832,17.29310361,33.13482273,35.31288069,3.119391585,-2.850440761,0.104279826,-40.22268072,-708.4742712,-36.38519607,0.881931611,1.900681501,1.64541966
41,CJ제일제당,음식료품,A097950,12,2020,Annual,25611892185,7469913474,2409369434,1861478883,10462045760,25611892185,15445453188,7082673561,1793738367,1647881072,2412810326,10166438997,24245725654,19059312372,1359551440,39905922,116857417,786425538,2001752173,-345091608,-1097921853,39.69,37.11,151.93,93.49,78.61,8.01,5.61,1359551440,21.39,-2.544612158,-5.956482573,-3.289277904,-2.544612158,-8.05813739,-13.6495008,7.224173301,8.47004385,51.59051182,311.6801153,-6.595296199,-89.18169128,0.946658899,2.384878881,1.569764601
42,CJ제일제당,음식료품,A097950,12,2021,Annual,26855804277,7725600945,2616118100,2338251516,11160866010,26855804277,16049003859,7915867743,2153028876,1455599563,1966024758,10806800418,26289227767,20507136770,1524429392,48689469,175943237,892393213,1686409257,-625359234,-1273855062,40.24,36.4,148.51,90.45,78.01,8.51,5.8,1524429392,21.99,4.85677545,3.422897359,6.679575544,4.85677545,3.907626818,11.76383713,6.298777981,8.428298423,12.12737872,13.47459739,-15.75334451,81.21542788,0.978903015,2.43265599,1.638059782
43,CJ제일제당,음식료품,A097950,12,2022,Annual,30013241845,9788044124,2914499020,3201446372,11912532880,30013241845,18484219204,9749512896,2562314004,2842769156,1772536200,11529022641,30079513121,23524738847,1664708210,63831140,244036645,802674084,1627293112,-1498466429,551586831,38.41,38.71,160.33,100.77,78.21,7.19,5.53,1664708210,21.79,11.75700245,26.69621682,6.734843598,11.75700245,15.17362303,23.16417116,6.68303471,14.41763671,9.202054141,-10.0537664,-3.505444764,139.616903,1.002208068,2.609025419,1.627307748
44,CJ제일제당,음식료품,A097950,12,2023,Annual,29606279551,9580237559,2733206062,2649405658,11875428266,29606279551,17826337301,9555630305,2169407256,2471827919,1445603057,11779942250,29023472909,22970895588,1291582413,49832662,205235135,559462096,2444759803,-702741211,-1658229045,39.79,37.79,151.33,94.98,79.15,4.8,4.45,1291582413,20.85,-1.355942474,-2.123065266,-0.311475438,-1.355942474,-3.55915441,-1.988638746,2.176417003,-3.510828808,-22.41388579,-30.30021684,50.23475396,-53.10263898,0.980314763,2.463804346,1.628123176
46,CR홀딩스,비금속광물,A000480,12,2020,Annual,1246277916,450746862,93409357,101479952,362853913,1246277916,513632072,405247142,53951659,241442709,41409407,732645844,705226744,604140693,22921569,4209502,0,39702329,94056796,-142486301,108000410,58.79,23.79,70.11,40.47,85.67,5.53,3.25,22921569.16,14.33,16.5770535,23.23441366,-1.984239798,16.5770535,40.44141596,44.51435422,4.167786816,-6.858119577,7.467817538,23.24414633,17.50771563,103.4184451,0.565866357,0.962575233,1.373019292
47,CR홀딩스,비금속광물,A000480,12,2021,Annual,1349335977,415565059,104709273,119758226,420831582,1349335977,560656513,448165791,68761084,227472243,614505,788679464,746291405,631047378,33138448,2474677,0,33396173,54726493,-60335704,2648453,58.45,23.86,71.09,40.81,84.56,4.39,4.44,33138447.6,15.44,8.269268008,-7.805224166,15.97823998,8.269268008,9.155277399,10.59073453,7.648118181,5.822901833,44.57320963,-15.88359212,-41.81548242,-57.65508433,0.553080491,0.94625439,1.331102712
48,CR홀딩스,비금속광물,A000480,12,2022,Annual,1620442053,460349349,113821279,138598909,367059923,1620442053,793378122,551300892,63858890,363668141,151450047,827063931,798039613,678382457,22597869,4051166,0,49575575,9061843,-125586098,132604034,51.04,35.21,95.93,68.99,85.01,6.14,2.83,22597868.69,14.99,20.09181409,10.77672173,-12.7774771,20.09181409,41.5087676,23.01271161,4.866928677,6.934048503,-31.80770264,48.44687444,-83.4415792,108.145575,0.49248266,0.964906802,1.005875497
49,CR홀딩스,비금속광물,A000480,12,2023,Annual,1621801859,431029759,132530658,128924371,382958819,1621801859,795117752,710420110,69532517,435011749,31679914,826684107,816904446,673199955,39415273,3773958,0,26857674,28186392,-60872782,-6374544,50.97,35.88,96.18,70.39,82.41,3.25,4.82,39415273.35,17.59,0.083915744,-6.368986958,4.331417026,0.083915744,0.219268713,28.86249965,-0.045924382,2.363896816,74.42030928,-45.82478569,211.0448062,-51.52904424,0.503701757,0.988170014,1.027400588
51,CS홀딩스,기타금융,A000590,12,2020,Annual,323725568,189858509,16303358,31197094,34338466,323725568,28164319,18974455,6127295,2070896,0,295561249,131637085,98462604,15901270,164871,9863,11835399,19478813,19294489,-3055358,91.3,0.77,9.53,0.85,74.8,4.07,12.08,15901269.82,25.2,3.00168939,-2.526856306,-14.96093439,3.00168939,0.090689724,-0.838120938,3.287942267,-2.470468695,-6.601687778,-28.71912802,1.016092979,55.26700637,0.406631721,0.445380054,4.673895541
52,CS홀딩스,기타금융,A000590,12,2021,Annual,353716996,189086293,23921662,45133423,35334454,353716996,41521128,29190456,10692015,3334477,0,312195868,159017955,118076365,19647702,125429,9709,21065821,8113505,-43981538,-4590077,88.26,1.15,13.3,1.3,74.25,6.93,12.36,19647701.65,25.75,9.264460693,-0.406732363,2.900502311,9.264460693,47.42457646,53.84081387,5.628146131,20.80027068,23.56058353,77.98995201,-58.34702556,-327.948706,0.449562664,0.50935317,3.829808164
