,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
261,KCC,2010,"8,511,312,024","233,527,830","81,161,723122,569,158"
262,KCC,2011,"7,342,270,308","122,771,308","69,501,110117,244,756"
263,KCC,2012,"6,823,989,638","198,949,280","78,036,537137,465,090"
264,KCC,2013,"7,051,729,096","231,742,877","137,030,683131,104,858"
265,KCC,2014,"8,654,534,051","273,391,768","195,383,356131,373,398"
266,KCC,2015,"8,668,411,154","309,210,486","810,166,473233,529,456"
267,KCC,2016,"9,162,368,432","326,583,102","963,184,673333,635,208"
268,KCC,2017,"9,543,776,838","329,834,971","1,248,242,729110,174,920"
269,KCC,2018,"8,965,418,419","200,863,855","564,361,598111,755,154"
270,KCTC,2010,"282,830,282","1,138,883","300,00051,935,550"
271,KCTC,2011,"272,587,475","9,030,610","9,500,00047,139,150"
272,KCTC,2012,"297,598,770","16,734,205","8,466,53040,653,400"
273,KCTC,2013,"304,139,270","19,505,551","6,546,66863,595,533"
274,KCTC,2014,"333,591,386","15,270,677","41,172,08156,941,865"
275,KCTC,2015,"363,554,474","13,385,080","66,140,13448,901,490"
276,KCTC,2016,"342,137,467","13,666,570","50,652,62839,207,984"
277,KCTC,2017,"370,846,592","11,557,153","68,152,65631,846,564"
278,KCTC,2018,"376,041,366","14,962,463","49,232,40861,281,142"
279,KC그린홀딩스,2010,"372,036,036","15,958,546","37,054,05643,323,806"
280,KC그린홀딩스,2011,"416,823,410","23,318,451","35,059,37649,745,392"
281,KC그린홀딩스,2012,"485,305,389","46,491,395","38,582,54747,308,154"
282,KC그린홀딩스,2013,"429,933,873","20,866,704","35,456,14528,654,541"
283,KC그린홀딩스,2014,"437,508,862","17,804,202","29,948,47948,574,306"
284,KC그린홀딩스,2015,"450,314,764","16,121,530","23,250,72456,246,307"
285,KC그린홀딩스,2016,"462,751,008","25,871,979","28,885,24651,669,548"
286,KC그린홀딩스,2017,"519,933,655","19,749,505","25,196,54641,444,985"
287,KC그린홀딩스,2018,"670,840,467","13,275,985","44,962,05149,378,327"
288,KEC,2010,"498,836,652","-5,568,397","96,938,73581,224,356"
289,KEC,2011,"479,025,819","-29,563,218","134,784,12441,327,433"
290,KEC,2012,"409,366,183","-22,890,353","92,780,14943,503,685"
291,KEC,2013,"376,185,399","-7,477,726","90,932,55543,940,128"
292,KEC,2014,"346,623,526","3,111,170","86,074,9501,908,288"
293,KEC,2015,"340,459,280","4,852,007","75,289,66721,079,949"
294,KEC,2016,"383,108,805","4,010,399","64,700,29426,000,000"
295,KEC,2017,"359,839,158","6,578,485","41,290,4660"
296,KEC,2018,"351,174,343","3,340,120","44,597,03114,585,272"
297,KG스틸,2010,"5,271,144,754","97,275,559","369,883,6341,104,334,936"
298,KG스틸,2011,"5,310,309,984","21,370,037","445,275,547964,840,188"
299,KG스틸,2012,"5,346,688,430","17,086,529","405,763,1731,192,926,302"
300,KG스틸,2013,"5,241,508,648","16,750,736","604,953,000871,048,441"
301,KG스틸,2014,"3,393,941,146","-160,142,736","464,317,3491,377,436,384"
302,KG스틸,2015,"2,890,468,536","78,584,907","446,174,4991,391,296,487"
303,KG스틸,2016,"2,823,220,556","143,611,068","406,402,7251,341,076,516"
304,KG스틸,2017,"2,552,471,978","-11,767,707","300,360,69927,460,565"
305,KG스틸,2018,"2,506,058,874","-16,372,390","368,431,2321,146,103,067"
306,KG케미칼,2010,"576,827,511","19,907,437","181,040,85468,710,010"
307,KG케미칼,2011,"854,039,979","35,412,334","226,657,203128,337,880"
308,KG케미칼,2012,"1,011,500,974","43,055,389","240,550,88746,858,940"
309,KG케미칼,2013,"911,141,519","59,046,757","114,300,84219,877,970"
310,KG케미칼,2014,"928,917,994","70,973,656","107,942,35736,075,303"
311,KG케미칼,2015,"1,142,452,651","45,359,740","179,267,520114,114,124"
