,종목명,업종명,종목코드,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
20,CJ,기타금융,A001040,12,2012,Annual,"21,385,040,866","6,336,179,553","1,481,140,301","21,385,040,866","1,190,114,737","2,487,787,285","2,211,482,209","17,628,388,035","47,539,227","430,774,626","1,062,972,105","570,256,610","1,562,979,394","-2,458,136,341","688,157,957","2,138,531,527",39.21,38.9,155.07,99.22,"2,041.80",32.83,18.03,-22.54,8.80,69.73,7.15,2.21,1.41,0.86,6.03,"1,062,972,105",3.23,30.27,11.02
21,CJ,기타금융,A001040,12,2013,Annual,"22,123,704,854","6,536,537,209","1,293,816,082","22,123,704,854","1,198,161,316","2,122,552,719","2,685,707,899","18,851,698,863","45,319,483","434,702,779","786,067,040","322,608,337","1,476,476,541","-1,798,328,283","352,089,120","2,379,216,183",38.88,40.33,157.22,103.73,"2,071.30",6.94,-26.05,-43.43,3.45,70.8,3.80,2.22,1.42,0.87,4.17,"786,067,040",1.71,29.2,8.12
22,CJ,기타금융,A001040,12,2014,Annual,"23,039,318,812","6,993,888,486","1,421,771,573","23,039,318,812","1,302,361,117","2,164,251,359","2,443,390,507","19,572,301,244","42,427,906","442,907,486","1,003,117,885","508,633,144","1,760,986,073","-1,932,689,490","-73,476,774","2,516,322,061",39.37,39.05,154.02,99.20,"2,181.14",3.82,27.61,57.66,4.14,68.88,5.76,2.22,1.42,0.87,5.13,"1,003,117,885",2.60,31.12,3.12
23,CJ,기타금융,A001040,12,2015,Annual,"23,562,143,506","6,950,205,084","1,495,391,511","23,562,143,506","1,398,350,609","2,050,571,122","1,420,790,955","21,166,707,211","55,313,523","448,254,647","1,225,330,266","551,115,547","2,295,614,169","-1,461,473,396","-637,090,027","2,655,668,392",41.86,36.57,138.88,87.35,"2,301.74",8.15,22.15,8.35,2.27,68.38,5.82,2.24,1.53,0.91,5.79,"1,225,330,266",2.60,31.62,4.03
24,CJ,기타금융,A001040,12,2016,Annual,"27,009,587,950","7,862,451,114","1,699,383,558","27,009,587,950","1,762,992,046","2,882,199,670","1,834,967,495","23,954,197,397","59,560,918","463,558,773","1,252,913,231","569,823,382","2,091,748,639","-3,344,703,500","1,230,498,734","3,284,666,049",41.67,36.27,139.99,87.04,"2,383.69",13.17,2.25,3.39,14.63,68.89,5.40,2.27,1.63,0.95,5.23,"1,252,913,231",2.38,31.11,9.47
25,CJ,기타금융,A001040,12,2017,Annual,"29,325,383,064","8,333,253,000","1,733,006,295","29,325,383,064","2,034,998,735","2,920,089,020","1,592,710,545","26,898,599,989","57,743,357","520,515,907","1,325,955,339","1,137,728,417","2,240,404,302","-2,863,799,623","718,215,319","3,551,768,653",40.89,36.14,144.54,88.37,"2,506.52",12.29,5.83,99.66,8.57,69.18,9.79,2.31,1.63,0.95,4.93,"1,325,955,339",4.23,30.82,10.80
26,CJ,기타금융,A001040,12,2018,Annual,"31,729,548,648","8,869,354,295","2,023,661,340","31,729,548,648","2,088,316,945","4,106,708,423","1,767,900,780","29,523,435,477","49,770,826","564,177,426","1,332,475,208","880,027,278","1,541,092,351","-2,126,012,873","827,350,780","3,534,816,257",39.46,37.96,153.39,96.19,"2,613.87",9.76,0.49,-22.65,8.20,71.71,7.18,2.41,1.62,0.97,4.51,"1,332,475,208",2.98,28.29,12.85
27,CJ대한통운,운수창고업,A000120,12,2010,Annual,"3,909,385,282","737,299,734","14,565,984","3,909,385,282","196,972,231","86,230,000","488,778,127","2,463,605,754","21,538","6,228,038","146,270,478","98,803,722","97,909,747","28,524,363","-55,858,740","411,326,730",56.43,27.39,77.22,48.55,"2,206.48",N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),89.48,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),5.94,"146,270,478",4.01,10.52,N/A(IFRS)
28,CJ대한통운,운수창고업,A000120,12,2011,Annual,"3,595,163,312","812,463,279","14,577,497","3,595,163,312","188,482,127","105,334,204","522,809,369","2,587,848,423",0,"5,538,770","125,019,927","80,994,345","111,199,423","97,373,509","-58,633,435","422,506,026",62.99,23.27,58.75,36.94,"2,260.35",5.04,-14.53,-18.03,-8.04,90.91,3.62,1.16,1.71,0.69,4.83,"125,019,927",3.13,9.09,-14.22
29,CJ대한통운,운수창고업,A000120,12,2012,Annual,"3,669,501,369","677,650,871","13,555,180","3,669,501,369","186,445,040","77,152,635","520,618,490","2,627,465,778",0,"19,340,163","143,027,522","69,571,921","116,938,980","-219,059,617","22,293,867","403,102,572",63.44,23.41,57.62,36.89,"2,327.19",1.53,14.40,-14.10,2.07,90.19,3.03,1.14,1.97,0.72,5.44,"143,027,522",2.65,9.81,7.56
