종목코드,종목명,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),,
A005490,POSCO홀딩스,12,2021,Annual,91471614112 ,46621630511 ,9266728873 ,15215098404 ,29596698065 ,91471614112 ,36666670760 ,21083623165 ,5468175292 ,5110423912 ,3828844863 ,54804943352 ,76332345050 ,64451218881 ,9238089233 ,123092000 ,89218000 ,7195889964 ,6259365289 ,(5583507767),(768666229),59.91 ,24.62 ,66.90 ,41.09 ,84.44 ,14.04 ,12.10 ,9238089232.88 ,15.56 ,,
A005490,POSCO홀딩스,12,2022,Annual,98406780635 ,47649465547 ,9769552610 ,15472417125 ,31781196297 ,98406780635 ,40149380046 ,23188189987 ,5520806865 ,6833119976 ,2709261000 ,58257400589 ,84750203702 ,77100911278 ,4850053016 ,179714000 ,103551000 ,3560483539 ,6186764806 ,(4219870542),1319408406 ,59.20 ,25.54 ,68.92 ,43.13 ,90.97 ,6.30 ,5.72 ,4850053015.77 ,9.03 ,,
A005490,POSCO홀딩스,12,2023,Annual,100945394185 ,46212298544 ,11015302857 ,13825514289 ,35206248344 ,100945394185 ,41281496792 ,21861518075 ,5782824502 ,4959280194 ,4581127000 ,59663897393 ,77127197109 ,70710293228 ,3531422506 ,175167000 ,107223000 ,1845849532 ,6167694887 ,(7388223726),(178592823),59.11 ,26.64 ,69.19 ,45.08 ,91.68 ,3.13 ,4.58 ,3531422506.43 ,8.32 ,,
A005490,POSCO홀딩스,12,2024,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A035420,NAVER,12,2010,Annual,1966957588 ,1126085612 ,185097025 ,0 ,331995298 ,1966957588 ,644970340 ,398864573 ,84958052 ,31743060 ,191441686 ,1321987248 ,1785388877 ,0 ,616505600 ,0 ,48262635 ,468877259 ,533965880 ,(458955909),(27710478),67.21 ,11.35 ,48.79 ,16.88 ,0.00 ,N/A(IFRS),34.53 ,616505600.00 ,100.00 ,,
A035420,NAVER,12,2011,Annual,2372705276 ,1431170126 ,222725430 ,0 ,383865979 ,2372705276 ,794843246 ,532803324 ,0 ,25247720 ,47360201 ,1577862030 ,2121317926 ,0 ,660352453 ,0 ,94154679 ,452128293 ,418454349 ,(317865876),(189082340),66.50 ,9.31 ,50.37 ,14.00 ,0.00 ,31.18 ,31.13 ,660352453.17 ,100.00 ,,
A035420,NAVER,12,2012,Annual,2927316669 ,1738943198 ,242240106 ,0 ,565585659 ,2927316669 ,1023748395 ,645391208 ,0 ,2748641 ,194540660 ,1903568275 ,1798657243 ,0 ,521187072 ,0 ,67664290 ,544428552 ,595501146 ,(689985126),23941234 ,65.03 ,11.27 ,53.78 ,17.34 ,0.00 ,31.28 ,28.98 ,521187071.66 ,100.00 ,,
A035420,NAVER,12,2013,Annual,2697746840 ,1336088791 ,231273969 ,0 ,791565324 ,2697746840 ,1222437824 ,832373207 ,0 ,85911237 ,0 ,1475309016 ,2259138612 ,0 ,506538818 ,0 ,244778002 ,1895289315 ,627952380 ,(423361308),(162058391),54.69 ,13.04 ,82.86 ,23.84 ,0.00 ,112.18 ,22.42 ,506538817.83 ,100.00 ,,
A035420,NAVER,12,2014,Annual,3394457894 ,1945783670 ,313553042 ,16516878 ,900956696 ,3394457894 ,1597039679 ,1080709107 ,0 ,208524167 ,138021000 ,1797418215 ,2758478837 ,0 ,758199066 ,0 ,245757356 ,451763103 ,836558093 ,(436149624),(111910895),52.95 ,13.43 ,88.85 ,25.36 ,0.00 ,27.61 ,27.49 ,758199066.00 ,100.00 ,,
A035420,NAVER,12,2015,Annual,4385913018 ,2639382643 ,405945356 ,15506933 ,863804605 ,4385913018 ,2116334499 ,1683655880 ,0 ,412759705 ,0 ,2269578519 ,3253930352 ,0 ,830224961 ,0 ,304614743 ,516986280 ,851367412 ,(785858502),5898778 ,51.75 ,15.22 ,93.25 ,29.42 ,0.00 ,25.42 ,25.51 ,830224960.87 ,100.00 ,,
