,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
122,KPX케미칼,2021,777143204.0,88.18,49247708.0,4.38,11.82,8.86,4.82,1020786101.0,131.35109407712199
123,KPX케미칼,2022,776778117.0,85.18,29568123.0,4.73,14.82,5.04,3.01,983579559.0,126.62297475612331
124,KPX케미칼,2023,822466229.0,84.39,65778115.0,6.41,15.61,10.59,7.22,911119635.0,110.77897217832151
125,KPX홀딩스,2019,1448992400.0,85.66,75765291.0,6.52,14.34,6.57,7.79,972702906.0,67.12960716702172
126,KPX홀딩스,2020,1698659221.0,83.14,194061323.0,8.30,16.86,15.41,20.36,953179618.0,56.113645763442975
127,KPX홀딩스,2021,1814858039.0,87.35,82325363.0,4.37,12.65,6.08,6.65,1238702230.0,68.25339521776226
128,KPX홀딩스,2022,1819893803.0,85.0,37511313.0,4.48,15.0,2.74,3.02,1240447445.0,68.1604301830792
129,KPX홀딩스,2023,1928646650.0,84.67,137402457.0,5.42,15.33,9.70,11.38,1207010160.0,62.58327102064031
130,KR모터스,2019,144081160.0,100.74,-41041685.0,-18.59,-0.74,-78.10,-30.96,132579261.0,92.01706940727018
131,KR모터스,2020,155873461.0,83.14,-11486012.0,1.03,16.86,-27.01,-9.75,117834375.0,75.59617541308074
132,KR모터스,2021,168436811.0,86.76,-11924558.0,-2.02,13.24,-23.83,-8.93,133510438.0,79.26440616356717
133,KR모터스,2022,149185246.0,85.45,-13001280.0,-5.33,14.55,-28.81,-11.11,117058741.0,78.46536044187641
134,KR모터스,2023,138570417.0,93.92,-21026669.0,-22.77,6.08,-67.36,-26.82,78406267.0,56.58225521541153
135,KSS해운,2019,957238169.0,72.52,23435296.0,22.82,27.48,8.81,10.13,231240042.0,24.157001829708694
136,KSS해운,2020,1069527678.0,72.51,13129121.0,22.43,27.49,4.78,5.80,226181167.0,21.147761918883226
137,KSS해운,2021,1446228923.0,77.72,56071252.0,17.93,22.28,18.33,17.31,324001267.0,22.403179873342914
138,KSS해운,2022,1659172643.0,80.95,45470527.0,15.61,19.05,12.14,10.21,445375790.0,26.843245751370553
139,KSS해운,2023,1656034880.0,78.41,17041880.0,18.70,21.59,4.12,3.61,472602860.0,28.538218953455857
140,LF,2019,2417125014.0,43.52,69449583.0,4.73,56.48,5.39,3.75,1851716801.0,76.6082345875719
141,LF,2020,2479439884.0,44.29,28596030.0,4.79,55.71,2.04,1.78,1610459972.0,64.95257184464973
142,LF,2021,2541137895.0,38.76,136154463.0,8.86,61.24,9.35,7.59,1793103980.0,70.56303333747263
143,LF,2022,2584040376.0,40.55,177302503.0,9.41,59.45,11.24,9.01,1968540365.0,76.18071231716699
144,LF,2023,2755627762.0,42.42,80053774.0,3.02,57.58,4.75,4.21,1900725823.0,68.9761458064451
145,LG,2019,22434630000.0,79.66,1106755000.0,15.22,20.34,5.95,16.94,6534451000.0,29.126627004768967
146,LG,2020,24282268000.0,63.53,1540658000.0,30.51,36.47,7.73,29.63,5199070000.0,21.410973637223673
147,LG,2021,25669796000.0,59.27,2683974000.0,35.87,40.73,12.54,39.13,6859010000.0,26.72015780725332
148,LG,2022,29633677000.0,67.54,2115750000.0,27.02,32.46,8.78,29.44,7185987000.0,24.249393688133942
149,LG,2023,30253085000.0,73.05,1414258000.0,21.34,26.95,5.31,19.00,7445336000.0,24.610171161056797
150,LG디스플레이,2019,35574563000.0,92.04,-2872078000.0,-5.79,7.96,-20.98,-12.23,23475567000.0,65.98975509551586
151,LG디스플레이,2020,35066012000.0,89.14,-76147000.0,-0.15,10.86,-0.60,-0.31,24261561000.0,69.18825271604881
152,LG디스플레이,2021,38154515000.0,82.24,1333544000.0,7.47,17.76,9.70,4.46,29878043000.0,78.30801413672799
153,LG디스플레이,2022,35686019000.0,95.7,-3195585000.0,-7.97,4.3,-24.50,-12.22,26151781000.0,73.28298793989882
154,LG디스플레이,2023,35759298000.0,98.38,-2576729000.0,-11.77,1.62,-25.65,-12.08,21330819000.0,59.65111227854641
155,LG생활건강,2019,6493669663.0,37.96,788173092.0,15.31,62.04,20.13,10.26,7685424230.0,118.35255916682131
156,LG생활건강,2020,6801415784.0,37.77,813101140.0,15.56,62.23,17.90,10.37,7844506057.0,115.33636975192458
157,LG생활건강,2021,7555239418.0,37.57,861127852.0,15.94,62.43,16.64,10.64,8091511298.0,107.09801305200676
158,LG생활건강,2022,7302929652.0,44.09,258340047.0,9.90,55.91,4.71,3.60,7185759184.0,98.39556898966005
159,LG생활건강,2023,7220285812.0,46.7,163524220.0,7.16,53.3,2.97,2.40,6804839370.0,94.24612192900267
160,LG유플러스,2019,17941050000.0,0.0,438831000.0,5.54,100.0,6.18,3.54,12381969000.0,69.01473993997007
161,LG유플러스,2020,18350190000.0,0.0,478065000.0,6.60,100.0,6.37,3.56,13417627000.0,73.11982600725115
162,LG유플러스,2021,19370515000.0,0.0,724218000.0,7.07,100.0,9.28,5.23,13851135000.0,71.50628158311744
163,LG유플러스,2022,19774800000.0,0.0,662588000.0,7.78,100.0,8.08,4.76,13905990000.0,70.32177316584745
164,LG유플러스,2023,20100605000.0,0.0,630241000.0,6.94,100.0,7.33,4.39,14372626000.0,71.50344977178548
165,LG이노텍,2019,5770780510.0,86.94,102300471.0,5.97,13.06,4.73,1.28,7975366479.0,138.20256142439905
166,LG이노텍,2020,6038600272.0,86.48,236127867.0,7.14,13.52,10.19,2.47,9541789541.0,158.01326650554623
167,LG이노텍,2021,7741352841.0,85.74,888282436.0,8.46,14.26,30.94,5.94,14945609219.0,193.06198187795533
168,LG이노텍,2022,9793617826.0,87.88,979848641.0,6.49,12.12,25.85,5.00,19589409483.0,200.0221964042157
169,LG이노텍,2023,11204305524.0,90.96,565200779.0,4.03,9.04,12.59,2.74,20605290042.0,183.90510681686405
170,LG전자,2019,44859875000.0,75.39,179948000.0,3.91,24.61,1.10,0.29,62306175000.0,138.89065673945817
171,LG전자,2020,48204227000.0,73.29,2063790000.0,6.73,26.71,12.15,3.55,58057908000.0,120.44152891405146
172,LG전자,2021,53481478000.0,74.43,1414972000.0,5.49,25.57,7.52,1.91,73907984000.0,138.19360788794955
173,LG전자,2022,55156141000.0,75.76,1863123000.0,4.25,24.24,8.75,2.23,83467318000.0,151.32914755584514
174,LG전자,2023,60240793000.0,76.49,1150611000.0,4.21,23.51,5.00,1.37,84227765000.0,139.81848645319127
175,LX하우시스,2019,2565579000.0,76.57,11565000.0,2.16,23.43,1.26,0.36,3186807000.0,124.21394936581567
176,LX하우시스,2020,2385372000.0,75.21,-79466000.0,2.34,24.79,-9.07,-2.62,3038037000.0,127.36114115534181
177,LX하우시스,2021,2547391000.0,75.95,12664000.0,2.04,24.05,1.49,0.37,3459792000.0,135.81707715855163
178,LX하우시스,2022,2483729000.0,78.95,-117721000.0,0.41,21.05,-14.33,-3.26,3611151000.0,145.3923113189885
179,LX하우시스,2023,2384792000.0,76.16,61786000.0,3.11,23.84,7.66,1.75,3525807000.0,147.84547247726428
180,LG화학,2019,34024426000.0,82.87,376104000.0,3.02,17.13,2.17,1.37,27353078000.0,80.39247451228127
181,LG화학,2020,41388894000.0,78.98,682408000.0,6.01,21.02,3.77,2.27,30058872000.0,72.62545358182318
182,LG화학,2021,51135302000.0,73.67,3953904000.0,11.80,26.33,18.83,9.28,42599284000.0,83.30699601617685
