,종목명,회계년,연구개발비/매출액(%),광고선전비/매출액(%)
2020,플레이그램,2019,0.0,0.11363079507368168
2021,플레이그램,2020,0.0,0.024349365875038467
2022,플레이그램,2021,0.0,0.048981422742324386
2023,플레이그램,2022,0.6317474047382193,0.21933762359047224
2024,플레이그램,2023,0.7993030734301669,0.3787673194776983
2025,NPC,2019,0.5977107024011544,0.035525311105896656
2026,NPC,2020,0.5964307880683851,0.01648724755393199
2027,NPC,2021,0.5709937806374571,0.016349691583104137
2028,NPC,2022,0.5715093401377465,0.009400980800162216
2029,NPC,2023,0.6728427510797751,0.018188153424896696
2030,영보화학,2019,1.6027538264332741,0.02689257425001487
2031,영보화학,2020,1.2517911087057305,0.020942817400174892
2032,영보화학,2021,2.4777033507276145,0.006959361754264351
2033,영보화학,2022,2.3510123579132784,0.0
2034,영보화학,2023,2.1881338335159337,0.0
2035,영원무역,2019,0.0,1.5359001711535556
2036,영원무역,2020,0.0,1.2184379081559151
2037,영원무역,2021,0.0,1.0761134222803526
2038,영원무역,2022,0.0,1.0335550263020477
2039,영원무역,2023,0.0,1.314488208957552
2040,영원무역홀딩스,2019,0.009666542290094747,1.7571567203455714
2041,영원무역홀딩스,2020,0.040245861796862764,1.417112237716567
2042,영원무역홀딩스,2021,0.0407759716681499,1.238682139405048
2043,영원무역홀딩스,2022,0.05863671878337201,1.2457020893996882
2044,영원무역홀딩스,2023,0.12795175787287627,1.6700579276131857
2045,영진약품,2019,6.1280048188004175,2.788473787687306
2046,영진약품,2020,7.231155514697911,2.525034101870235
2047,영진약품,2021,6.763407729272797,3.3903623737411475
2048,영진약품,2022,6.5769626730371,2.8257936209437498
2049,영진약품,2023,5.0698932654855975,2.878746778556512
2050,영풍,2019,0.0,0.02786870333617121
2051,영풍,2020,0.0,0.016780187848144407
2052,영풍,2021,0.0,0.023943330099492455
2053,영풍,2022,0.010028291830856132,0.01956158290376126
2054,영풍,2023,0.03393282098630555,0.018006649229609574
2055,영풍제지,2019,0.32502196921410564,0.0
2056,영풍제지,2020,0.33151279782112375,0.0
2057,영풍제지,2021,0.0,0.0
2058,영풍제지,2022,0.0,0.0
2059,영풍제지,2023,0.0,0.0
2060,영화금속,2019,0.14898129754612563,0.0016335338640876872
2061,영화금속,2020,0.09047669932206998,0.0011984554751772836
2062,영화금속,2021,0.09188032234759012,0.003948646015862238
2063,영화금속,2022,0.06089397460550959,0.008709470450821169
2064,영화금속,2023,0.045793924772768245,0.005896103371845876
2065,예스코홀딩스,2019,0.0,0.0
2066,예스코홀딩스,2020,0.0,0.0
2067,예스코홀딩스,2021,0.0,0.0
2068,예스코홀딩스,2022,0.0,0.0
2069,예스코홀딩스,2023,0.0,0.0
2070,오뚜기,2019,0.0,1.8293193732476292
2071,오뚜기,2020,0.0,1.5825386600015188
2072,오뚜기,2021,0.0,1.5531631076893075
2073,오뚜기,2022,0.0,1.4457178479273354
2074,오뚜기,2023,0.0,1.4057249832595127
2075,오리온홀딩스,2019,0.055475985572975055,1.816182078704168
2076,오리온홀딩스,2020,0.04990560399409499,1.4451658587517953
2077,오리온홀딩스,2021,0.03855048437987553,1.2910092083214646
2078,오리온홀딩스,2022,0.05225065745668614,1.107939725148259
2079,오리온홀딩스,2023,0.0523786890768279,0.8719642278665273
2080,웰바이오텍,2019,0.04135825682323339,0.37223195477572835
2081,웰바이오텍,2020,0.07007780143453557,0.4605850219765699
2082,웰바이오텍,2021,0.17146083395953515,0.1891527899519803
2083,웰바이오텍,2022,0.0,0.10916728636446006
2084,웰바이오텍,2023,0.0,0.18831049498045707
2085,팜젠사이언스,2019,0.9315920910359913,0.06302971328843468
2086,팜젠사이언스,2020,1.1539418953569092,0.09376664802553576
2087,팜젠사이언스,2021,2.065741554214369,0.1127500086082084
2088,팜젠사이언스,2022,1.9124258438714743,0.1317902721126048
2089,팜젠사이언스,2023,3.0688212183481856,0.2515007510605693
2090,에스메디,2019,0.030892794825453308,0.016349247711118675
2091,에스메디,2020,0.0,0.0
2092,에스메디,2021,0.0,0.037967383079183244
2093,에스메디,2022,0.0,0.0034924525064420563
2094,에스메디,2023,2.1200978244529165,0.07134879061764031
2095,우성,2019,0.0,0.0
2096,우성,2020,0.0,0.0
2097,우성,2021,0.0,0.0
2098,우성,2022,0.0,0.0
2099,우성,2023,0.0,0.0
2100,우신시스템,2019,0.6120751151115199,0.0
2101,우신시스템,2020,0.675032815814989,0.0
2102,우신시스템,2021,0.6208259230239986,0.0
2103,우신시스템,2022,0.6716175569568735,0.0
2104,우신시스템,2023,0.8230449582476383,0.0
2105,우진플라임,2019,1.3145843041908516,0.860793110372431
2106,우진플라임,2020,1.1249212143678768,0.07831659888766489
2107,우진플라임,2021,1.1299137873505363,0.09539703810144086
2108,우진플라임,2022,1.0930025200533637,0.27807742748789516
2109,우진플라임,2023,1.2582270340649566,0.7261227209469922
2110,웅진,2019,0.10077023973104311,1.2534128528933592
2111,웅진,2020,0.15305063410937142,2.0657144434336843
2112,웅진,2021,0.15851367696274005,3.570749528306025
2113,웅진,2022,0.1981479501570224,3.487297487628254
2114,웅진,2023,0.21431582239142943,3.1704463364990145
2115,웅진씽크빅,2019,0.15682816040240205,2.0242856085572454
2116,웅진씽크빅,2020,0.20992420589271768,2.7687733596385242
2117,웅진씽크빅,2021,0.19084260130203728,4.214806293104635
2118,웅진씽크빅,2022,0.22364142823589472,3.826539637861975
2119,웅진씽크빅,2023,0.2491937126294749,3.554220545259855
2120,원림,2019,0.0,0.0
2121,원림,2020,0.0,0.0
2122,원림,2021,0.0,0.0
2123,원림,2022,0.0,0.0
2124,원림,2023,0.0,0.0
2125,윌비스,2019,0.3509855950291777,0.6670676804523834
2126,윌비스,2020,0.25590948328954355,0.8753131822668729
2127,윌비스,2021,0.2104562926551222,0.7004472509077148
2128,윌비스,2022,0.1401034657414312,0.8577907426579588
2129,윌비스,2023,0.1318789781716103,0.5555306232574643
2130,유나이티드제약,2019,6.370789054085119,4.748257852218062
2131,유나이티드제약,2020,5.68152044287862,3.2556890729012062
2132,유나이티드제약,2021,6.239374008581425,3.1512785767160123
2133,유나이티드제약,2022,5.917839510173209,3.1693691466029876
2134,유나이티드제약,2023,6.203263597332471,3.230665549923575
2135,유니드,2019,1.5488032792221953,0.00335445841139445
2136,유니드,2020,1.6750440206850354,0.046350182333046455
2137,유니드,2021,1.7206418879941496,0.0008797068742815935
2138,유니드,2022,1.428318089174222,0.0012456380761898045
2139,유니드,2023,1.4318503251777546,0.0023656739002359114
2140,유니온,2019,1.6583523221881926,0.10736247145531415
2141,유니온,2020,1.4470699345814448,0.06234914418161893
2142,유니온,2021,1.3985861768835657,0.0805399615693818
2143,유니온,2022,1.2819665125773032,0.08884115854096687
2144,유니온,2023,1.6268061292708458,0.08474213521959045
2145,유니온머티리얼,2019,2.443047178255819,0.10397258739153314
2146,유니온머티리얼,2020,1.902965766794028,0.010923063454956628
2147,유니온머티리얼,2021,1.6299990771297481,0.011234427494640308
2148,유니온머티리얼,2022,1.4044030291461054,0.08154068896709633
2149,유니온머티리얼,2023,1.9735797903522714,0.0908000236352234
2150,유니퀘스트,2019,0.857464530033609,0.0
2151,유니퀘스트,2020,0.9333699134106909,0.0
2152,유니퀘스트,2021,0.6908228162568626,0.0
2153,유니퀘스트,2022,0.015179545206038378,0.0
2154,유니퀘스트,2023,0.004495692488987483,0.0
