,종목명,회계년,총자본회전율(회),총부채회전율(회),총자산회전율(회)
310,STX,2019,24.33,2.95,2.63
311,STX,2020,11.90,1.86,1.61
312,STX,2021,8.04,1.69,1.39
313,STX,2022,8.65,1.63,1.37
314,STX,2023,7.20,1.69,1.37
315,STX엔진,2019,2.66,0.99,0.72
316,STX엔진,2020,2.33,1.04,0.72
317,STX엔진,2021,1.79,0.90,0.60
318,STX엔진,2022,2.00,0.95,0.64
319,STX엔진,2023,2.43,1.02,0.72
320,STX중공업,2019,1.71,0.71,0.50
321,STX중공업,2020,1.63,0.81,0.54
322,STX중공업,2021,0.84,0.48,0.31
323,STX중공업,2022,1.03,0.71,0.42
324,STX중공업,2023,1.17,1.08,0.56
325,TCC스틸,2019,3.82,2.24,1.41
326,TCC스틸,2020,3.63,2.25,1.39
327,TCC스틸,2021,3.88,2.70,1.59
328,TCC스틸,2022,3.76,2.68,1.57
329,TCC스틸,2023,2.81,2.00,1.17
330,WISCOM,2019,0.98,8.49,0.88
331,WISCOM,2020,0.87,6.71,0.77
332,WISCOM,2021,0.99,8.09,0.88
333,WISCOM,2022,1.08,8.09,0.95
334,WISCOM,2023,1.01,8.02,0.89
335,가온전선,2019,3.21,3.18,1.60
336,가온전선,2020,3.30,3.21,1.63
337,가온전선,2021,4.03,3.20,1.78
338,가온전선,2022,4.96,3.37,2.01
339,가온전선,2023,4.73,3.26,1.93
340,강남제비스코,2019,0.60,3.03,0.50
341,강남제비스코,2020,0.60,2.83,0.49
342,강남제비스코,2021,0.95,3.18,0.73
343,강남제비스코,2022,1.00,2.58,0.72
344,강남제비스코,2023,0.93,2.23,0.66
345,강원랜드,2019,0.42,2.23,0.35
346,강원랜드,2020,0.14,0.86,0.12
347,강원랜드,2021,0.24,1.63,0.21
348,강원랜드,2022,0.38,1.92,0.32
349,강원랜드,2023,0.39,1.82,0.32
350,갤럭시아에스엠,2019,1.19,4.35,0.93
351,갤럭시아에스엠,2020,0.92,2.74,0.69
352,갤럭시아에스엠,2021,1.07,3.68,0.83
353,갤럭시아에스엠,2022,0.91,1.86,0.61
354,갤럭시아에스엠,2023,0.61,1.65,0.45
355,경농,2019,1.13,1.40,0.62
356,경농,2020,1.20,1.51,0.67
357,경농,2021,1.21,1.73,0.71
358,경농,2022,1.45,2.13,0.86
359,경농,2023,1.31,1.89,0.77
360,경동나비엔,2019,2.66,2.53,1.30
361,경동나비엔,2020,2.69,2.51,1.30
362,경동나비엔,2021,2.76,2.54,1.32
363,경동나비엔,2022,2.40,2.36,1.19
364,경동나비엔,2023,2.19,2.47,1.16
365,경동인베스트,2019,0.66,1.42,0.45
366,경동인베스트,2020,0.73,1.78,0.52
367,경동인베스트,2021,0.69,2.01,0.51
368,경동인베스트,2022,0.62,2.01,0.47
369,경동인베스트,2023,0.68,2.25,0.52
370,경방,2019,0.47,0.56,0.26
