종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap
케이씨,1.69561E+11,1.23556E+11,1.70974E+11,2.68149E+11,3.79015E+11,5.37633E+11,3.34785E+11,1.5926E+11,2.52783E+11,3.74769E+11,3.0971E+11,2.31096E+11,2.4953E+11
KCC,3.00346E+12,3.12444E+12,4.92862E+12,5.4704E+12,4.40734E+12,3.79507E+12,4.02203E+12,3.26196E+12,2.46495E+12,1.75508E+12,2.79924E+12,1.81728E+12,2.03056E+12
KCTC,46800000000,47250000000,58350000000,88350000000,95100000000,99450000000,76800000000,86250000000,82500000000,1.125E+11,1.866E+11,1.365E+11,1.1685E+11
KT,9.30864E+12,9.26947E+12,8.23808E+12,8.15974E+12,7.37641E+12,7.67669E+12,7.89863E+12,7.78113E+12,7.05002E+12,6.26668E+12,7.99002E+12,8.82558E+12,8.87041E+12
KT&G,1.11756E+13,1.10932E+13,1.02283E+13,1.0448E+13,1.43471E+13,1.38665E+13,1.58573E+13,1.39352E+13,1.2878E+13,1.1409E+13,1.08461E+13,1.25623E+13,1.16292E+13
코리아써키트,1.63904E+11,4.16491E+11,3.22891E+11,2.99054E+11,2.73138E+11,2.85383E+11,3.30926E+11,1.31931E+11,2.9753E+11,3.80817E+11,7.70595E+11,3.1004E+11,4.9946E+11
코리안리,1.73863E+12,1.35834E+12,1.35244E+12,1.29999E+12,1.70322E+12,1.37221E+12,1.32406E+12,1.0424E+12,1.09656E+12,9.49712E+11,1.11341E+12,9.59004E+11,1.18238E+12
코스맥스비티아이,2.13406E+11,5.88565E+11,6.76917E+11,4.36018E+11,6.59789E+11,3.59187E+11,3.15969E+11,1.87757E+11,1.29173E+11,1.68549E+11,1.30613E+11,85186779270,1.0209E+11
코스모신소재,1.07008E+11,68331223680,76888275840,42191129920,39568235520,77802314880,2.51495E+11,3.42627E+11,2.60307E+11,5.74723E+11,1.38851E+12,1.58771E+12,4.78883E+12
코스모화학,2.29141E+11,1.21588E+11,93942480030,62890363200,67841779960,53980198200,3.92659E+11,1.9167E+11,1.59798E+11,3.18552E+11,4.48549E+11,7.19419E+11,1.49792E+12
코아스,16332079720,22424427280,32191579310,54473615970,87493056400,50224216250,34307003100,41724733500,39870300900,33843394950,34461539150,22562263300,18637047630
코오롱,2.40999E+11,2.23418E+11,2.14232E+11,2.68959E+11,9.58366E+11,7.3391E+11,7.71019E+11,4.08455E+11,2.33004E+11,2.91187E+11,4.39692E+11,2.94548E+11,2.34511E+11
코오롱글로벌,1.21681E+11,2.91756E+11,2.59733E+11,1.12286E+11,2.37837E+11,1.88979E+11,2.52126E+11,1.84442E+11,2.49998E+11,4.96352E+11,5.79234E+11,5.08599E+11,2.31436E+11
코웨이,2.82277E+12,3.35878E+12,5.12109E+12,6.49391E+12,6.4862E+12,6.7444E+12,7.30973E+12,5.46855E+12,6.87074E+12,5.36523E+12,5.49069E+12,4.1254E+12,4.22134E+12
크라운해태홀딩스,2.41389E+11,3.04569E+11,4.11163E+11,2.86296E+11,8.17945E+11,4.28987E+11,2.32275E+11,1.74743E+11,1.62132E+11,1.38464E+11,1.3511E+11,1.07241E+11,92375885550
태경산업,92508993750,97624025000,1.42636E+11,1.69527E+11,1.68942E+11,1.4059E+11,1.5199E+11,1.63096E+11,1.66896E+11,1.72157E+11,1.95833E+11,1.89402E+11,1.91741E+11
태경케미컬,38106000000,49996000000,64032000000,64264000000,74588000000,60900000000,52954000000,53824000000,60900000000,1.6414E+11,1.4326E+11,1.247E+11,1.60196E+11
태광산업,1.38062E+12,1.05216E+12,1.43629E+12,1.28709E+12,1.21361E+12,1.05439E+12,1.46635E+12,1.46969E+12,1.1802E+12,8.91833E+11,1.16128E+12,8.30596E+11,6.79174E+11
태양금속,26876500000,25569700000,27208000000,37894100000,75235500000,98959000000,73808000000,60022500000,61999500000,49911000000,57145500000,60704000000,1.52325E+11
TP,39910050000,68074800000,1.02407E+11,2.28875E+11,1.60613E+11,1.68536E+11,1.72983E+11,1.28024E+11,1.32017E+11,95336182260,1.0954E+11,83410861765,1.106E+11
TBH글로벌,3.55609E+11,3.05552E+11,4.91178E+11,3.05552E+11,2.31511E+11,1.81454E+11,1.63935E+11,62361888810,57356252250,36499433250,47032126845,34205183160,36979140087
티에이치엔,24750000000,33750000000,25020000000,25200000000,33030000000,40140000000,30780000000,42930000000,65880000000,46170000000,78660000000,62910000000,62910000000
팜스코,1.46441E+11,1.54322E+11,3.2394E+11,4.95827E+11,5.98665E+11,4.3339E+11,4.26044E+11,2.85743E+11,1.68949E+11,1.77396E+11,2.25142E+11,1.43239E+11,1.19366E+11
퍼스텍,90256141200,87216426600,89554668600,90957613800,2.45048E+11,1.76537E+11,1.54324E+11,1.29539E+11,97504691400,1.02852E+11,1.34572E+11,1.57642E+11,1.58265E+11
퍼시스,3.37525E+11,2.921E+11,3.5535E+11,3.61675E+11,4.3585E+11,3.795E+11,3.795E+11,3.5305E+11,3.3925E+11,3.40975E+11,4.117E+11,3.496E+11,3.5075E+11
페이퍼코리아,48981676800,73199927776,74890951500,1.00775E+11,1.07033E+11,1.20261E+11,66686488110,50692863210,56471340676,87324806525,65644755195,52085656950,1.60541E+11
평화산업,23040000000,29840000000,25120000000,46567785780,71254322820,69571149840,53674516140,92200475460,67529778570,65059176915,94980908070,64510154325,72855297693
POSCO홀딩스,3.3131E+13,3.04282E+13,2.84665E+13,2.402E+13,1.45166E+13,2.24506E+13,2.89896E+13,2.11864E+13,2.06197E+13,2.37148E+13,2.39328E+13,2.33839E+13,4.22433E+13
포스코스틸리온,1.047E+11,89400000000,82200000000,80400000000,1.074E+11,1.782E+11,1.71E+11,1.242E+11,1.026E+11,1.044E+11,3.3E+11,1.932E+11,3.396E+11
포스코인터내셔널,2.98708E+12,4.51519E+12,4.70309E+12,3.58141E+12,1.86188E+12,3.07466E+12,2.23926E+12,2.24543E+12,2.30095E+12,1.79511E+12,2.76977E+12,2.78828E+12,1.09776E+13
풀무원,1.23796E+11,1.82837E+11,2.48353E+11,4.2281E+11,7.08492E+11,5.35178E+11,6.55164E+11,3.03204E+11,4.28523E+11,6.30895E+11,6.59485E+11,4.2695E+11,3.99884E+11
풍산,7.34236E+11,9.41616E+11,8.01494E+11,7.02008E+11,7.72069E+11,1.13498E+12,1.33115E+12,7.66464E+11,6.66978E+11,7.83279E+11,8.72956E+11,9.43017E+11,1.09855E+12
풍산홀딩스,1.87652E+11,1.83735E+11,2.30354E+11,3.35737E+11,3.25159E+11,3.80006E+11,4.11346E+11,2.87942E+11,2.66004E+11,2.23302E+11,2.9459E+11,2.9459E+11,3.69446E+11
KH필룩스,,,,,,,,,,,,,
하나금융지주,8.64042E+12,8.43383E+12,1.27263E+13,9.27661E+12,6.98567E+12,9.2501E+12,1.4741E+13,1.08838E+13,1.10789E+13,1.03584E+13,1.26252E+13,1.24427E+13,1.26883E+13
