Symbol,Name,결산월,회계년,주기,ROE(영업이익)(%)
A372910,한컴라이프케어,12,2020,Annual,완전잠식
A372910,한컴라이프케어,12,2021,Annual,6.19
A372910,한컴라이프케어,12,2022,Annual,-1.09
A372910,한컴라이프케어,12,2023,Annual,1.43
A372910,한컴라이프케어,12,2024,Annual,
A007160,사조산업,12,2011,Annual,23.70
A007160,사조산업,12,2012,Annual,12.42
A007160,사조산업,12,2013,Annual,6.50
A007160,사조산업,12,2014,Annual,13.34
A007160,사조산업,12,2015,Annual,8.43
A007160,사조산업,12,2016,Annual,12.54
A007160,사조산업,12,2017,Annual,13.54
A007160,사조산업,12,2018,Annual,11.13
A007160,사조산업,12,2019,Annual,3.67
A007160,사조산업,12,2020,Annual,4.44
A007160,사조산업,12,2021,Annual,9.21
A007160,사조산업,12,2022,Annual,9.13
A007160,사조산업,12,2023,Annual,-3.71
A007160,사조산업,12,2024,Annual,
A068290,삼성출판사,12,2011,Annual,7.07
A068290,삼성출판사,12,2012,Annual,8.50
A068290,삼성출판사,12,2013,Annual,7.54
A068290,삼성출판사,12,2014,Annual,9.95
A068290,삼성출판사,12,2015,Annual,7.99
A068290,삼성출판사,12,2016,Annual,11.59
A068290,삼성출판사,12,2017,Annual,9.72
A068290,삼성출판사,12,2018,Annual,2.85
A068290,삼성출판사,12,2019,Annual,4.04
A068290,삼성출판사,12,2020,Annual,-3.06
A068290,삼성출판사,12,2021,Annual,4.03
A068290,삼성출판사,12,2022,Annual,-0.63
A068290,삼성출판사,12,2023,Annual,-0.77
A068290,삼성출판사,12,2024,Annual,
A006340,대원전선,12,2011,Annual,11.07
A006340,대원전선,12,2012,Annual,12.49
A006340,대원전선,12,2013,Annual,7.40
A006340,대원전선,12,2014,Annual,5.64
A006340,대원전선,12,2015,Annual,12.45
A006340,대원전선,12,2016,Annual,8.83
A006340,대원전선,12,2017,Annual,1.20
A006340,대원전선,12,2018,Annual,5.36
A006340,대원전선,12,2019,Annual,1.24
A006340,대원전선,12,2020,Annual,5.15
A006340,대원전선,12,2021,Annual,2.65
A006340,대원전선,12,2022,Annual,1.50
A006340,대원전선,12,2023,Annual,13.68
A006340,대원전선,12,2024,Annual,
A214390,경보제약,12,2011,Annual,42.12
A214390,경보제약,12,2012,Annual,47.91
A214390,경보제약,12,2013,Annual,N/A(IFRS)
A214390,경보제약,12,2014,Annual,41.13
A214390,경보제약,12,2015,Annual,26.82
A214390,경보제약,12,2016,Annual,12.37
