종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조,종목코드,시장구분,업종명,시가총액
일양약품,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,5.0,1.0,5.0,6.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7570,KOSPI,의약품,264527303040.0
일정실업,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500,KOSPI,섬유의복,18840000000.0
일진다이아,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81000,KOSPI,화학,181656050250.0
일진디스플,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20760,KOSPI,전기전자,55171216611.0
일진전기,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,0.0,0.0,-2.0,2.0,-2.0,-2.0,0.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,103590,KOSPI,전기전자,911267802900.0
일진하이솔루스,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,271940,KOSPI,운수장비,795258861000.0
일진홀딩스,5.0,1.0,3.0,6.0,5.0,1.0,3.0,6.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15860,KOSPI,기타금융,202077942885.0
잇츠한불,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,5.0,5.0,1.0,3.0,0.0,1.0,-3.0,-5.0,-2.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,226320,KOSPI,화학,260520262200.0
자이에스앤디,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,6.0,,,,,-,-,-,-,0.0,0.0,1.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,317400,KOSPI,서비스업,155323992600.0
자화전자,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,6.0,5.0,-2.0,-2.0,-3.0,1.0,-2.0,-2.0,0.0,-3.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,33240,KOSPI,전기전자,533956467000.0
