Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A271940,일진하이솔루스,12,2022,Annual,"314,718,893","27,786,558","342,505,451"
A271940,일진하이솔루스,12,2023,Annual,"315,903,987","22,448,809","338,352,796"
A271940,일진하이솔루스,12,2024,Annual,,,
A007340,DN오토모티브,12,2011,Annual,"505,621,072","234,441,580","740,062,652"
A007340,DN오토모티브,12,2012,Annual,"559,489,146","171,099,675","730,588,820"
A007340,DN오토모티브,12,2013,Annual,"598,059,815","200,236,901","798,296,716"
A007340,DN오토모티브,12,2014,Annual,"650,252,406","321,305,939","971,558,345"
A007340,DN오토모티브,12,2015,Annual,"725,445,757","339,060,525","1,064,506,282"
A007340,DN오토모티브,12,2016,Annual,"790,469,916","325,069,655","1,115,539,571"
A007340,DN오토모티브,12,2017,Annual,"512,792,557","265,832,535","778,625,093"
A007340,DN오토모티브,12,2018,Annual,"563,528,621","307,231,005","870,759,626"
A007340,DN오토모티브,12,2019,Annual,"626,101,165","285,645,034","911,746,199"
A007340,DN오토모티브,12,2020,Annual,"654,677,184","307,077,824","961,755,008"
A007340,DN오토모티브,12,2021,Annual,"713,972,881","770,989,552","1,484,962,433"
A007340,DN오토모티브,12,2022,Annual,"1,131,508,560","3,460,082,192","4,591,590,752"
A007340,DN오토모티브,12,2023,Annual,"1,394,417,749","3,172,968,753","4,567,386,501"
A007340,DN오토모티브,12,2024,Annual,,,
A020560,아시아나항공,12,2011,Annual,"861,287,413","4,886,144,032","5,747,431,446"
A020560,아시아나항공,12,2012,Annual,"1,004,889,983","5,081,471,870","6,086,361,853"
A020560,아시아나항공,12,2013,Annual,"903,311,477","6,108,696,095","7,012,007,572"
A020560,아시아나항공,12,2014,Annual,"1,119,122,778","7,092,474,995","8,211,597,773"
A020560,아시아나항공,12,2015,Annual,"851,582,382","8,441,166,163","9,292,748,545"
A020560,아시아나항공,12,2016,Annual,"1,041,864,638","7,187,376,449","8,229,241,087"
A020560,아시아나항공,12,2017,Annual,"1,299,943,850","7,356,538,358","8,656,482,208"
A020560,아시아나항공,12,2018,Annual,"1,093,189,188","7,097,915,382","8,191,104,570"
A020560,아시아나항공,12,2019,Annual,"908,288,516","12,595,134,363","13,503,422,879"
A020560,아시아나항공,12,2020,Annual,"1,089,336,974","12,762,122,307","13,851,459,281"
A020560,아시아나항공,12,2021,Annual,"521,096,423","12,561,568,437","13,082,664,860"
A020560,아시아나항공,12,2022,Annual,"715,645,571","12,739,695,841","13,455,341,412"
A020560,아시아나항공,12,2023,Annual,"810,345,388","12,206,400,393","13,016,745,781"
A020560,아시아나항공,12,2024,Annual,,,
A195870,해성디에스,12,2011,Annual,,,
A195870,해성디에스,12,2012,Annual,,,
A195870,해성디에스,12,2013,Annual,,,
A195870,해성디에스,12,2014,Annual,"103,577,703","112,817,263","216,394,966"
A195870,해성디에스,12,2015,Annual,"118,930,328","110,235,009","229,165,337"
A195870,해성디에스,12,2016,Annual,"161,350,571","89,602,353","250,952,924"
A195870,해성디에스,12,2017,Annual,"181,091,181","109,332,575","290,423,757"
A195870,해성디에스,12,2018,Annual,"196,362,001","109,877,933","306,239,934"
A195870,해성디에스,12,2019,Annual,"208,538,117","118,049,126","326,587,243"
A195870,해성디에스,12,2020,Annual,"231,838,785","151,373,192","383,211,976"
A195870,해성디에스,12,2021,Annual,"294,314,929","180,632,905","474,947,833"
A195870,해성디에스,12,2022,Annual,"447,295,294","212,318,528","659,613,822"
A195870,해성디에스,12,2023,Annual,"515,050,369","173,676,951","688,727,320"
A195870,해성디에스,12,2024,Annual,,,
A069260,TKG휴켐스,12,2011,Annual,"455,899,190","255,639,165","711,538,354"
A069260,TKG휴켐스,12,2012,Annual,"460,490,248","310,528,087","771,018,336"
A069260,TKG휴켐스,12,2013,Annual,"463,552,743","312,941,447","776,494,191"
A069260,TKG휴켐스,12,2014,Annual,"473,093,565","269,779,011","742,872,576"
A069260,TKG휴켐스,12,2015,Annual,"472,873,771","237,719,471","710,593,242"
A069260,TKG휴켐스,12,2016,Annual,"493,308,278","255,566,309","748,874,587"
A069260,TKG휴켐스,12,2017,Annual,"598,814,980","282,764,325","881,579,305"
A069260,TKG휴켐스,12,2018,Annual,"666,062,399","198,672,092","864,734,491"
A069260,TKG휴켐스,12,2019,Annual,"671,651,234","242,216,557","913,867,791"
A069260,TKG휴켐스,12,2020,Annual,"687,144,561","179,440,954","866,585,515"
A069260,TKG휴켐스,12,2021,Annual,"719,579,335","229,725,000","949,304,335"
A069260,TKG휴켐스,12,2022,Annual,"740,190,827","201,162,049","941,352,875"
