종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
신세계인터내셔날  ,7,7,7,7,7,7,7,7,6,3,6,6,7,6,7,7,7,5,7,7
신세계푸드  ,7,6,7,7,7,6,7,7,5,3,6,6,7,6,7,7,6,5,6,6
신송홀딩스  ,3,1,1,5,3,1,1,5,1,1,1,3,3,1,3,5,5,1,5,6
신영와코루  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,5,3,1,5,3
신영증권  ,6,5,7,6,6,5,7,6,6,3,6,6,5,1,3,6,5,1,5,6
신원  ,3,3,5,1,3,3,5,1,1,1,3,3,3,1,5,5,1,1,3,3
신일전자  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,6,3,1,3,5
신풍  ,1,1,1,3,1,1,1,3,1,1,1,3,6,5,5,6,5,6,3,5
신풍제약  ,1,1,1,1,1,1,1,1,1,1,3,1,5,1,5,6,5,1,5,6
신한지주  ,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8
신흥  ,3,1,3,3,3,1,3,3,1,1,3,1,5,1,5,5,5,1,5,5
쌍방울  ,1,1,1,1,1,1,1,1,1,1,3,1,3,1,5,3,3,1,5,3
쌍용씨앤이  ,6,6,5,7,6,6,5,7,6,6,5,6,7,7,7,6,6,5,6,6
써니전자  ,1,3,3,1,1,3,3,1,1,1,1,3,3,1,5,5,3,3,5,5
씨아이테크  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,3,3
씨에스윈드  ,7,6,6,7,7,6,6,7,3,3,5,3,5,5,3,6,5,5,3,5
씨티알모빌리티  ,3,1,3,5,3,1,3,5,5,1,5,6,5,1,5,6,,,,
아남전자  ,1,1,3,3,1,1,3,3,1,1,3,1,3,3,3,5,3,3,3,3
아모레퍼시픽  ,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7
아모레퍼시픽그룹  ,7,7,8,7,7,7,8,7,7,7,8,6,7,7,8,7,7,7,8,7
아세아  ,7,6,6,7,7,6,6,7,6,5,6,6,6,5,6,6,3,3,5,3
아세아시멘트  ,6,6,7,5,6,6,7,5,3,5,6,3,6,6,6,5,6,6,6,5
아세아제지  ,3,5,6,1,3,5,6,1,3,3,6,1,5,3,6,5,5,3,5,5
아센디오  ,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,,,,
아시아나IDT  ,1,3,3,1,1,3,3,1,3,1,3,3,1,5,3,1,3,1,5,3
아시아나항공  ,7,7,7,6,7,7,7,6,5,6,7,3,3,6,7,1,3,6,6,1
아이마켓코리아  ,3,3,6,3,3,3,6,3,3,1,6,3,5,1,6,6,5,1,5,6
아이에스동서  ,6,6,7,6,6,6,7,6,6,5,7,6,6,5,6,6,5,5,5,6
아이에이치큐  ,1,1,3,1,1,1,3,1,1,1,1,1,3,1,3,5,5,1,5,6
아주스틸  ,3,3,3,3,3,3,3,3,,,,,,,,,,,,
알루코  ,1,3,3,1,1,3,3,1,1,1,3,1,3,3,1,5,5,5,5,5
애경산업  ,7,7,8,7,7,7,8,7,7,6,8,6,7,6,8,6,5,3,6,5
애경케미칼  ,7,7,7,6,7,7,7,6,6,6,7,6,5,5,3,5,5,6,3,5
에넥스  ,3,3,3,3,3,3,3,3,3,1,3,3,5,3,5,5,5,5,6,5
에스디바이오센서  ,1,3,3,1,1,3,3,1,-,-,-,-,-,-,-,-,,,,
에스메디  ,1,1,1,3,1,1,1,3,1,1,1,1,5,1,5,5,3,1,3,5
에스엘  ,6,6,7,6,6,6,7,6,6,5,6,6,6,6,6,6,3,5,6,1
에스엠벡셀  ,1,1,3,3,1,1,3,3,1,1,1,1,,,,,3,3,3,3
에스원  ,6,6,7,6,6,6,7,6,6,6,7,5,7,5,7,7,6,5,7,6
에스제이엠  ,3,3,3,3,3,3,3,3,1,1,3,3,5,3,5,6,3,3,5,3
에스제이엠홀딩스  ,3,3,3,3,3,3,3,3,3,1,3,3,5,3,5,5,5,3,5,5
에스제이지세종  ,1,3,3,1,1,3,3,1,3,1,5,1,5,5,5,5,3,5,6,3
에스케이바이오팜  ,7,6,8,7,7,6,8,7,7,6,7,7,-,-,-,-,-,-,-,-
에쓰씨엔지니어링  ,1,3,1,1,1,3,1,1,1,1,1,1,3,3,3,5,3,3,5,5
에어부산  ,3,3,5,1,3,3,5,1,1,3,3,1,3,3,5,1,3,3,6,3
에이리츠  ,3,1,1,5,3,1,1,5,,,,,,,,,,,,
에이블씨엔씨  ,3,3,5,3,3,3,5,3,5,1,5,5,6,3,6,6,3,1,5,3
