종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조
신세계I&C  ,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
신세계건설  ,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,3.0,7.0,7.0,5.0,3.0,5.0,6.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
신세계인터내셔날  ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,0.0,1.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
신세계푸드  ,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,3.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,-2.0,-3.0,-1.0,-1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
신송홀딩스  ,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,6.0,-2.0,0.0,-2.0,-1.0,-2.0,0.0,-2.0,-2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
신영와코루  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,-2.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신영증권  ,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,3.0,6.0,6.0,5.0,1.0,3.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,-2.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
신원  ,3.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,-2.0,0.0,-2.0,-2.0,2.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0
신일전자  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,3.0,1.0,3.0,5.0,0.0,0.0,-2.0,1.0,-2.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신풍  ,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,6.0,5.0,5.0,6.0,5.0,6.0,3.0,5.0,1.0,-1.0,2.0,1.0,-5.0,-4.0,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신풍제약  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,5.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,-4.0,0.0,-2.0,-5.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
신한지주  ,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신흥  ,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,-4.0,0.0,-2.0,-4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
쌍방울  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
쌍용씨앤이  ,6.0,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,1.0,2.0,1.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
써니전자  ,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,-2.0,0.0,0.0,-2.0,0.0,-4.0,-2.0,0.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0
씨아이테크  ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
씨에스윈드  ,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,-2.0,-2.0,2.0,-3.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0
