,종목명,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023
371,상신브레이크,269841443.0,305186258.0,346980657.0,353038165.0,440014845.0,493641122.0,544569686.0,564873379.0
372,새론오토모티브,30173636.0,29993562.0,26237447.0,27269308.0,248085258.0,268378498.0,256209762.0,257571092.0
373,샘표,90148032.0,129328227.0,138655949.0,144770085.0,381155550.0,442738149.0,465919907.0,474583603.0
374,서연,1324421697.0,1231606779.0,1319636711.0,1556642713.0,2151012180.0,2137879391.0,2323543347.0,2771870653.0
375,서울가스,655228369.0,623830584.0,818373686.0,709423037.0,1689713126.0,1662601876.0,1871342447.0,1777219780.0
376,서울식품,46385830.0,46261760.0,42534581.0,44090117.0,74752325.0,72278884.0,70853362.0,70814891.0
377,서원,120382590.0,154493744.0,129996556.0,123001609.0,225954131.0,293365978.0,266232857.0,246997269.0
378,서흥,389007506.0,380086403.0,456694418.0,516668522.0,765989776.0,809954854.0,926418536.0,993737056.0
379,선도전기,84878609.0,88951576.0,76037003.0,69366338.0,171389483.0,146217075.0,113976353.0,92323070.0
380,SUN&L,325109521.0,397875441.0,373988182.0,396711706.0,528379079.0,566176957.0,524434320.0,628100647.0
381,성문전자,13826330.0,23623581.0,25167616.0,24201250.0,40358770.0,54386004.0,57241316.0,60912720.0
382,성보화학,22532879.0,36424835.0,33383212.0,33110290.0,159209820.0,172156874.0,170785287.0,165627372.0
383,성신양회,682849243.0,707589359.0,791369380.0,772175804.0,1090267313.0,1121595053.0,1187583002.0,1310199053.0
384,성창기업지주,174455182.0,164488268.0,224541467.0,195769131.0,707392787.0,703740105.0,820314255.0,769067175.0
385,세기상사,19870637.0,27800153.0,25060643.0,23943612.0,40517199.0,46388873.0,51641841.0,50999114.0
386,세방,311208175.0,347791902.0,277495007.0,287005143.0,1164648378.0,1244948679.0,1280973787.0,1345241647.0
387,세방전지,378160846.0,472409464.0,430957932.0,498766535.0,1514339389.0,1684408564.0,1676981981.0,1840970162.0
388,세아베스틸지주,1566714422.0,1619635049.0,1846659305.0,1626121166.0,3280434991.0,3525996555.0,3818404052.0,3665171001.0
389,세아제강,456800611.0,548598492.0,636127563.0,538663133.0,1052052852.0,1228191226.0,1465129429.0,1535913845.0
390,세아홀딩스,2357914263.0,2674980509.0,2915366416.0,2681649313.0,5084932952.0,5537774299.0,5919958905.0,5789382239.0
391,세우글로벌,4114500.0,4426591.0,4030129.0,6056709.0,47098886.0,48681238.0,49888721.0,54508702.0
392,세원이앤씨,154627981.0,122542234.0,115300761.0,153770418.0,324723875.0,292675905.0,282702160.0,343623738.0
393,세원정공,94841140.0,70776213.0,77647409.0,92873802.0,612803378.0,622152014.0,628831844.0,674081857.0
394,세이브존I&C,107305935.0,106318459.0,109458880.0,110440387.0,559381457.0,564254721.0,573569548.0,584799204.0
