종목명,총부채_2011,총부채_2012,총부채_2013,총부채_2014,총부채_2015,총부채_2016,총부채_2017,총부채_2018,총부채_2019,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2011,총자산_2012,총자산_2013,총자산_2014,총자산_2015,총자산_2016,총자산_2017,총자산_2018,총자산_2019,총자산_2020,총자산_2021,총자산_2022,총자산_2023
한화생명,62589540403.0,70825528207.0,75385018908.0,83474053176.0,90887425920.0,110222000000.0,115756000000.0,120655000000.0,127857000000.0,135620000000.0,150172000000.0,126616000000.0,132427000000.0,69106688514.0,77874506470.0,82371484984.0,92126214195.0,99530183320.0,119381000000.0,125994000000.0,132084000000.0,141850000000.0,148775000000.0,163591000000.0,146310000000.0,147902000000.0
현대위아,2757405894.0,2691370603.0,2549194160.0,3088444170.0,3519947263.0,3763489826.0,4053583984.0,4070516000.0,3682530000.0,4194046000.0,4054243000.0,3812800000.0,3059151000.0,4252849005.0,4573489077.0,4860454999.0,5937316944.0,6683131755.0,7022079143.0,7193681978.0,7107447000.0,6774339000.0,7719906000.0,7749507000.0,7546451000.0,6825905000.0
현대홈쇼핑,270580224.0,331676444.0,273850675.0,284709556.0,309513832.0,447686490.0,330985896.0,878181613.0,774839981.0,898307833.0,717965792.0,823288672.0,850516397.0,1139831172.0,1306359201.0,1429041784.0,1550254232.0,1666364862.0,1902995406.0,1875426918.0,2562680959.0,2503844834.0,2693110904.0,2600338276.0,2782027992.0,3432527149.0
휠라홀딩스,540816388.0,462698084.0,479349504.0,475018605.0,499829701.0,2082752073.0,1844594261.0,1797845632.0,1969305511.0,1901113442.0,1982367579.0,2247238043.0,2426230646.0,839412055.0,862009181.0,971356130.0,1043405217.0,978931671.0,3384914899.0,3078924218.0,3304339508.0,3770249128.0,3758441249.0,4288856815.0,4821801378.0,4980149551.0
GS리테일,1559426947.0,1389360063.0,1265470315.0,1238543453.0,2576478489.0,2363836827.0,2698930353.0,2640531613.0,4482562635.0,4510588585.0,5041586938.0,5412417745.0,5608276835.0,2994028838.0,2913810618.0,2880089786.0,2920088717.0,4735505772.0,4721361657.0,5092274321.0,5098880173.0,7049658160.0,7177767176.0,9455972982.0,9832423125.0,10042015943.0
메리츠금융지주,8180560956.0,17386642637.0,18950917408.0,23762875924.0,28396945068.0,33557131195.0,37220911741.0,46750583508.0,55802205729.0,62687116178.0,75147647741.0,80435428575.0,92138657614.0,9747881559.0,19564011314.0,21107485158.0,26762548700.0,32026283356.0,37543724235.0,42052829383.0,52205220231.0,61764073698.0,69564425579.0,82030936760.0,88977399370.0,102236000000.0
미원화학,27135743.0,22335120.0,20699620.0,21129098.0,13587500.0,9869844.0,12326859.0,7967097.0,16927799.0,12430856.0,13888348.0,15155439.0,20282131.0,73108213.0,73859719.0,82110790.0,90882280.0,96403994.0,98229529.0,95655842.0,97808459.0,119057544.0,125335557.0,133843310.0,147864036.0,164770958.0
선진,154171501.0,153464262.0,138097325.0,215634639.0,247551966.0,348834727.0,352023112.0,586038000.0,652036556.0,735683840.0,834028357.0,892994227.0,815022297.0,239942079.0,269676642.0,283542777.0,383056315.0,437278251.0,543650885.0,686844124.0,917160519.0,983329180.0,1119723429.0,1248892387.0,1333616177.0,1258124553.0
인터지스,126086420.0,261264152.0,272807408.0,301058294.0,313823697.0,293342133.0,266329284.0,246750947.0,239819989.0,196810354.0,181665920.0,178721965.0,164660989.0,327752769.0,458749926.0,458605173.0,500464836.0,528489692.0,514189732.0,509181971.0,470115542.0,419994906.0,385984504.0,388581566.0,433167238.0,428501449.0
제주은행,2920296000.0,2868780000.0,2903954000.0,3170213000.0,4146580000.0,4849180000.0,5158123000.0,5507949000.0,5695223000.0,6022397000.0,6428269000.0,6798450000.0,6626863000.0,3168168000.0,3146674000.0,3196049000.0,3475694000.0,4464601000.0,5184831000.0,5562924000.0,5980941000.0,6192927000.0,6531838000.0,6944214000.0,7320304000.0,7162714000.0
시디즈,11610499.0,10180070.0,1556753.0,1207706.0,1187585.0,1459380.0,1549568.0,46895928.0,35030466.0,46987721.0,23355362.0,21635673.0,30293307.0,42441182.0,35171798.0,23820764.0,23016887.0,22601841.0,23017620.0,23322114.0,72030521.0,67071398.0,95773293.0,84805501.0,85063020.0,95079295.0
한국종합기술,68647232.0,66461830.0,84810031.0,102872089.0,104250606.0,120039870.0,116415301.0,126272780.0,184523702.0,194606582.0,197119260.0,183900048.0,224519456.0,186024956.0,185606145.0,207814312.0,225609365.0,225647093.0,242443837.0,230798691.0,227908120.0,299804232.0,332119487.0,339419339.0,332695360.0,381181316.0
LG헬로비전,683455471.0,831197384.0,1195974324.0,1266873053.0,1049060693.0,873536811.0,881032764.0,884252317.0,839364025.0,841615540.0,835732530.0,802491626.0,754107898.0,1305399798.0,1555958111.0,2080517805.0,2170450143.0,2000272843.0,1840191675.0,1868155224.0,1936966229.0,1790671378.0,1472721456.0,1488116032.0,1428013437.0,1319446206.0
대한해운,1624592621.0,1590404382.0,818357275.0,801814166.0,948563996.0,1578446306.0,1898735174.0,2153447841.0,2445671729.0,2492265618.0,2341620169.0,2706138105.0,2880989160.0,1725297150.0,1419420084.0,1222386257.0,1300693721.0,1517923154.0,2204457785.0,2573268187.0,2932927976.0,3340874142.0,3345588771.0,3859734559.0,4490260112.0,4727803814.0
동일고무벨트,,86983627.0,88638641.0,93898898.0,88359798.0,99051601.0,94748367.0,97751246.0,87921304.0,75880980.0,104787335.0,163224625.0,150343280.0,,199369660.0,214293411.0,236739939.0,248608774.0,276868629.0,271591039.0,284848797.0,281409709.0,275779246.0,313829242.0,381228402.0,374040833.0
사조씨푸드,146847669.0,135730703.0,119981494.0,79894155.0,76543587.0,139428786.0,149849095.0,160593441.0,143844480.0,100810804.0,106936375.0,111544269.0,102175106.0,249383390.0,289383562.0,276373008.0,246045557.0,255290593.0,322910322.0,359361765.0,380269455.0,348095570.0,311639371.0,336930665.0,350700455.0,320138050.0
애경케미칼,,328175264.0,249494408.0,216222609.0,127135999.0,155311433.0,157171987.0,156525576.0,132825682.0,140944041.0,555841020.0,505938346.0,572037722.0,,463816829.0,410696212.0,397608844.0,332693320.0,408400368.0,457845132.0,498468498.0,492826341.0,532149672.0,1244966460.0,1234083723.0,1308360653.0
지엠비코리아,180261348.0,181484174.0,183511552.0,222310012.0,245094745.0,237376344.0,230533519.0,244086478.0,253229573.0,260401844.0,273762237.0,282988579.0,309489580.0,331187044.0,354106751.0,377984965.0,430817639.0,459399994.0,466333873.0,468879290.0,475197807.0,486911660.0,488507776.0,522463825.0,550819603.0,579056069.0
한국콜마,,132206561.0,181051135.0,156579034.0,123612594.0,205241251.0,335912011.0,1376591254.0,1552436552.0,1490357400.0,1246477583.0,1463836380.0,1590839241.0,,230013673.0,294944664.0,336375678.0,344296273.0,492928108.0,668548554.0,2186418082.0,2400309459.0,2489599417.0,2606037352.0,2933309479.0,3009429378.0
한국타이어앤테크놀로지,,3960968823.0,3852577581.0,3803608991.0,4355349929.0,3660493919.0,3145279906.0,3006129279.0,2977390790.0,3246400366.0,3498782298.0,3705654911.0,3133752512.0,,7182454444.0,7776713391.0,8320082169.0,9496138132.0,9621973239.0,9518786151.0,9796442247.0,10164607903.0,10658547889.0,11694296588.0,12581364159.0,12763305688.0
