Symbol,Name,PBR(IFRS-연결)
A004720,팜젠사이언스,0.41
A002380,KCC,0.40
A120110,코오롱인더,0.40
A001800,오리온홀딩스,0.40
A003540,대신증권,0.40
A001200,유진투자증권,0.40
A004980,성신양회,0.40
A014280,금강공업,0.40
A000700,유수홀딩스,0.40
A007980,TP,0.40
A085310,엔케이,0.40
A005320,국동,0.40
A032830,삼성생명,0.39
A003690,코리안리,0.39
A001430,세아베스틸지주,0.39
A306200,세아제강,0.39
A084010,대한제강,0.39
A001270,부국증권,0.39
A044820,코스맥스비티아이,0.39
A006090,사조오양,0.39
A004540,깨끗한나라,0.39
A041650,상신브레이크,0.39
A015760,한국전력,0.38
A004170,신세계,0.38
A013890,지누스,0.38
A210980,SK디앤디,0.38
A033530,에스제이지세종,0.38
A317400,자이에스앤디,0.38
A079430,현대리바트,0.38
A089470,HDC현대EP,0.38
A023350,한국종합기술,0.38
A047040,대우건설,0.37
A000240,한국앤컴퍼니,0.37
A016380,KG스틸,0.37
A183190,아세아시멘트,0.37
A016590,신대양제지,0.37
A011760,현대코퍼레이션,0.37
A005680,삼영전자,0.37
A016450,한세예스24홀딩스,0.37
A214330,금호에이치티,0.37
A227840,현대코퍼레이션홀딩스,0.37
A002220,한일철강,0.37
A009440,KC그린홀딩스,0.37
A002870,신풍,0.37
A294870,HDC현대산업개발,0.36
A123890,한국자산신탁,0.36
A029530,신도리코,0.36
A007690,국도화학,0.36
A029460,케이씨,0.36
A053210,스카이라이프,0.36
A008060,대덕,0.36
A000320,노루홀딩스,0.36
A003650,미창석유,0.36
A024110,기업은행,0.35
A005880,대한해운,0.35
A003470,유안타증권,0.35
A145990,삼양사,0.35
A012320,경동인베스트,0.35
A016710,대성홀딩스,0.35
A070960,용평리조트,0.35
A019440,세아특수강,0.35
A002200,한국수출포장,0.35
A092440,기신정기,0.35
A034300,신세계건설,0.35
A091090,세원이앤씨,0.35
A005820,원림,0.35
A316140,우리금융지주,0.34
A023590,다우기술,0.34
A036530,SNT홀딩스,0.34
A025000,KPX케미칼,0.34
A007860,서연,0.34
A007160,사조산업,0.34
A002170,삼양통상,0.34
A004060,SG세계물산,0.34
A010960,삼호개발,0.34
A001620,케이비아이동국실업,0.34
A025530,SJM홀딩스,0.34
A002070,비비안,0.34
A460860,동국제강,0.33
A020000,한섬,0.33
A060980,HL홀딩스,0.33
A213500,한솔제지,0.33
A000140,하이트진로홀딩스,0.33
A006840,AK홀딩스,0.33
A030210,다올투자증권,0.33
A016090,대현,0.33
A006370,대구백화점,0.33
A024070,WISCOM,0.33
A004990,롯데지주,0.32
A383800,LX홀딩스,0.32
A001940,KISCO홀딩스,0.32
A452260,한화갤러리아,0.32
A002990,금호건설,0.32
A032560,황금에스티,0.32
A075180,새론오토모티브,0.32
A100220,비상교육,0.32
A006980,우성,0.32
A010400,우진아이엔에스,0.32
A078930,GS,0.31
A375500,DL이앤씨,0.31
A057050,현대홈쇼핑,0.31
A002240,고려제강,0.31
A009580,무림P&P,0.31
A013870,지엠비코리아,0.31
A001290,상상인증권,0.31
A155660,DSR,0.31
A069730,DSR제강,0.31
A008420,문배철강,0.31
A000210,DL,0.30
A085620,미래에셋생명,0.30
A006120,SK디스커버리,0.30
A000070,삼양홀딩스,0.30
A030610,교보증권,0.30
A037710,광주신세계,0.30
A000860,강남제비스코,0.30
A003460,유화증권,0.30
A004840,DRB동일,0.30
A003060,에이프로젠바이오로직스,0.30
A008250,이건산업,0.30
A006200,한국전자홀딩스,0.30
A006360,GS건설,0.29
A093050,LF,0.29
A128820,대성산업,0.29
A003070,코오롱글로벌,0.29
A003480,한진중공업홀딩스,0.29
A005740,크라운해태홀딩스,0.29
A123700,SJM,0.29
A004870,티웨이홀딩스,0.29
A000760,이화산업,0.29
A008600,윌비스,0.29
A082640,동양생명,0.28
A017940,E1,0.28
A000050,경방,0.28
A001750,한양증권,0.28
A009770,삼정펄프,0.28
A011170,롯데케미칼,0.27
A005440,현대지에프홀딩스,0.27
A007700,F&F홀딩스,0.27
A377740,바이오노트,0.27
A072710,농심홀딩스,0.27
A267290,경동도시가스,0.27
A006660,삼성공조,0.27
A014710,사조씨푸드,0.27
A446070,유니드비티플러스,0.27
A088790,진도,0.27
A138930,BNK금융지주,0.26
A003300,한일홀딩스,0.26
A017390,서울가스,0.26
A001500,현대차증권,0.26
A033920,무학,0.26
A002460,화성산업,0.26
A000590,CS홀딩스,0.26
A036460,한국가스공사,0.25
A069960,현대백화점,0.25
A005010,휴스틸,0.25
A092230,KPX홀딩스,0.25
A004360,세방,0.25
A363280,티와이홀딩스,0.25
A004890,동일산업,0.25
A129260,인터지스,0.25
A000880,한화,0.24
A139130,DGB금융지주,0.24
A004690,삼천리,0.24
A034830,한국토지신탁,0.24
A001520,동양,0.24
A004970,신라교역,0.24
A033180,KH 필룩스,0.24
A002690,동일제강,0.24
A000370,한화손해보험,0.23
A071320,지역난방공사,0.23
A001130,대한제분,0.23
A003200,일신방직,0.23
