Unnamed: 0,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,통합_등급차이
1158,진흥기업,건설업,A002780,12,2020,Annual,282917478,163362308,50780816,3448912,12956824,282917478,164069257,109353910,49276791,0,885567,118848221,377247252,336179195,14680716,0,989478,20396827,41218248,-15377869,-24077735,42.01,0.74,138.05,1.77,89.11,18.86,3.89,14680716.28,10.89,-13.16519729,-25.15991288,22.23561861,-13.16519729,-28.16578354,-26.39683002,22.00661853,-30.97462362,-47.64330022,0.287797,-193.8583836,-145.5656251,1.33341798,3.174193512,2.299317123,0
1159,진흥기업,건설업,A002780,12,2021,Annual,334617162,199532101,44977220,3469878,13501548,334617162,163663633,104125496,61531667,0,734487,170953529,444244784,377848814,43348738,0,1059067,53413212,51376718,-30755061,-1230347,51.09,0.56,95.74,1.09,85.05,36.86,9.76,43348738.06,14.95,18.27376816,22.14084353,4.20414756,18.27376816,-0.247227304,-4.781186151,43.84189142,17.75958119,195.276729,161.8702017,24.64556475,99.99559757,1.327621038,2.598628917,2.714376895,0
1160,진흥기업,건설업,A002780,12,2022,Annual,451746879,332594741,40394358,3462159,15925565,451746879,227013990,150468385,101373866,0,16561105,224732889,628936049,555671271,50682533,0,1637081,49560577,32953310,25212033,12938124,49.75,4.03,101.02,8.11,88.35,25.05,8.06,50682532.74,11.65,35.00409731,66.68733469,17.9536228,35.00409731,38.70765658,44.50676422,31.45846729,41.57421126,16.91812804,-7.212887703,-35.85944902,-181.976859,1.392231088,2.798593707,2.770472644,0
1161,참엔지니어링,기계,A009310,12,2020,Annual,750575298,468321736,20301593,23085861,28619285,750575298,663757434,94740432,33417201,20080800,0,86817864,168672529,123404627,7046068,8894133,37584,6827302,7974082,5522134,-6250641,11.57,5.33,764.54,46.11,73.16,8.23,4.18,7046068.14,26.84,4.914269075,179.2273946,-1.643018473,4.914269075,4.309586657,11.46798561,9.779747225,49.91221197,-151.6485446,-141.3489443,-175.0776142,-78.79732125,0.224724327,1.942832054,0.254117725,0
1162,참엔지니어링,기계,A009310,12,2021,Annual,699101613,421865782,15296530,6740552,31670860,699101613,613458318,77378164,8568959,30098302,0,85643295,150562978,108656199,2623051,9036391,13849,-1134326,-6874217,420935,-3260081,12.25,5.5,716.29,44.91,72.17,-1.32,1.74,2623050.83,27.83,-6.857897554,-9.919666424,10.66265282,-6.857897554,-7.57793637,-18.32614401,-1.352911654,-10.73651478,-62.77284011,-116.6145573,-186.2070016,-92.37731283,0.215366372,1.758024116,0.245433102,-1
1163,참엔지니어링,기계,A009310,12,2022,Annual,739665589,487029429,13676978,6065849,27620298,739665589,653553595,65848134,9597103,27600000,0,86111994,170586354,128257286,1308108,6535250,30418,-2268336,8635209,1164742,-4692640,11.64,4.4,758.96,37.76,75.19,-2.64,0.77,1308108.17,24.81,5.802300445,15.44653532,-12.78955481,5.802300445,6.535941534,-14.90088341,0.547268762,13.29900369,-50.13028721,99.97214205,-225.6173467,176.703529,0.230626322,1.98098251,0.261013565,-1
1164,천일고속,운수창고업,A000650,12,2020,Annual,67019917,15501577,479186,303906,15886159,67019917,29080896,8770514,796982,0,11000000,37939021,31159428,34875606,-9995626,0,8240,-6763102,2425678,1311188,64951,56.61,19.37,76.65,34.21,111.93,-15.21,-32.08,-9995625.51,-11.93,-16.27197261,27.59110766,-17.19240657,-16.27197261,0.137326467,-50.85531948,-25.61525701,-47.74808649,-1882.603097,-1036.057821,-59.83558553,-157.2471684,0.464927881,0.821302901,1.071474139,0
1165,천일고속,운수창고업,A000650,12,2021,Annual,62706050,14796468,639901,279457,12882688,62706050,26777803,6162510,930633,0,11000000,35928247,29342955,33553710,-9844065,0,21440,-567982,-5213402,17277008,-3618379,57.3,19.98,74.53,34.88,114.35,-1.54,-33.55,-9844065.23,-14.35,-6.436694035,-4.548627536,-18.90621263,-6.436694035,-7.919608117,-29.73604512,-5.300015517,-5.829609581,-1.516273218,-91.60175316,-314.925559,1217.660625,0.46794456,0.8167099,1.095793968,-2
1166,천일고속,운수창고업,A000650,12,2022,Annual,54845658,9480878,973142,404664,10792477,54845658,28229906,18006556,1360051,0,0,26615753,37703179,39239893,-7411184,0,22540,-6007020,-1529634,143882,-4299309,48.53,23.38,106.06,48.18,104.08,-19.21,-19.66,-7411183.63,-4.08,-12.53530082,-35.92472204,-16.22496019,-12.53530082,5.422786179,192.1951607,-25.91970045,28.49141813,-24.71419073,957.6074594,-70.65958083,-99.16720534,0.687441456,1.416573824,1.33557579,0
1167,청호ICT,기계,A012600,12,2020,Annual,20683997,7399918,1267292,2924159,8993351,20683997,11560677,10759740,2029686,4480000,0,9123320,29185453,26614300,-5629776,2041703,2033,-11696934,-11886991,13622307,-2230235,44.11,26.4,126.72,59.85,91.19,-144.12,-19.29,-5629776.16,8.81,-59.52854188,-57.8609431,-48.75772678,-59.52854188,-73.72468845,-68.81920037,28.32818004,-29.2247403,-28.97557382,-28.75210716,51.8170485,-26.47549936,1.411016111,3.198994774,2.524545319,-1
