,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급,사회_등급,지배구조_등급,통합_등급
1665,팜젠사이언스,의약품,A004720,12,2021,Annual,220323823.0,77378929.0,19856779,15224712,34901624.0,220323823.0,93391563.0,71121630,4504713,1169029,0,126932260.0,109866067.0,49063066.0,-5037919,2269549,123874,32414423,7784093,-30385446,30340455,57.61,21.79,73.58,37.82,44.66,30.8,-4.59,-5037919.45,55.34,62.54790347,3.308492935,102.7468068,62.54790347,79.68912512,88.71252214,51.88740826,13.71614308,652.0348408,255.2631893,190.927571,293.559806,0.498657229,0.865548813,1.176402487,1.0,2.0,2.0,2.0
1666,팜젠사이언스,의약품,A004720,12,2022,Annual,317391477.0,70540861.0,28037445,20900197,42443807.0,317391477.0,110275883.0,68185323,4938467,0,0,207115594.0,150930715.0,69628645.0,7472364,2886438,198912,70058186,-1286177,-15284385,2269033,65.26,12.44,53.24,19.07,46.13,41.94,4.95,7472363.78,53.87,44.05681269,-8.837118953,21.60983397,44.05681269,18.07906352,-4.128571013,63.17017754,37.37700741,-248.3224323,116.1327567,-116.5231453,-49.69833584,0.475534871,0.728726949,1.368664761,1.0,1.0,1.0,1.0
1667,팜젠사이언스,의약품,A004720,12,2023,Annual,335917099.0,95327309.0,35616705,20713291,41272572.0,335917099.0,107705788.0,63172000,4867901,0,0,228211311.0,166778826.0,68909376.0,9126798,5118144,419450,5726202,5438941,3260040,8851958,67.94,11.3,47.2,16.64,41.32,2.63,5.47,9126798.16,58.68,5.836836633,35.13771685,-2.759495631,5.836836633,-2.33060478,-7.352495786,10.18547981,10.5002557,22.14070407,-91.82650547,-522.8765559,-121.3292193,0.496488052,0.730808763,1.548466699,1.0,2.0,1.0,1.0
1668,퍼스텍,기계,A010820,12,2020,Annual,180652738.0,90013852.0,14246310,24810316,36840911.0,180652738.0,135938847.0,111887399,12280217,0,0,44713891.0,132075450.0,123013697.0,4016336,0,12495,7130774,11038639,-18617197,-13323763,24.75,2.08,304.02,8.41,93.14,19.81,3.04,4016336.47,6.86,-0.800535508,-5.816672826,-0.159091091,-0.800535508,-12.20279338,-12.93730045,63.9202762,4.561333391,-186.1709363,-168.000534,-64.080842,226.3921089,0.731101291,2.953790132,0.97157989,3.0,3.0,2.0,2.0
1669,퍼스텍,기계,A010820,12,2021,Annual,185612511.0,102511196.0,16105440,31784865,36466931.0,185612511.0,142208454.0,119774310,10730140,0,0,43404057.0,136697478.0,126328312.0,4334722,0,80546,3874218,-6873596,22135690,-1769642,23.38,1.21,327.64,5.16,92.41,8.79,3.17,4334722.37,7.59,2.745473473,13.88380091,-1.015121477,2.745473473,4.612078989,7.048971618,-2.929367073,3.499536061,7.927275009,-45.66903957,-162.2685097,-218.8991554,0.73646694,3.149417069,0.961247198,2.0,2.0,3.0,2.0
1670,퍼스텍,기계,A010820,12,2022,Annual,211309948.0,102843975.0,13445486,40510884,73615560.0,211309948.0,154647755.0,119575891,21473648,0,10000000,56662193.0,160154490.0,150079056.0,3112928,0,39936,1794177,1225830,-14218377,9731947,26.81,5.71,272.93,21.28,93.71,3.59,1.94,3112927.91,6.29,13.84466858,0.32462698,101.8693594,13.84466858,8.747230316,-0.165660733,30.54584506,17.15979866,-28.18621356,-53.68931227,-117.8338966,-164.2328159,0.757912685,2.826478848,1.035608244,1.0,1.0,2.0,1.0
1671,퍼스텍,기계,A010820,12,2023,Annual,265075748.0,135566849.0,17532817,53558617,88250722.0,265075748.0,202739372.0,171944625,11685674,0,5650000,62336377.0,173103351.0,161727645.0,2508074,0,452960,4620136,37865851,-38152569,-4665546,23.52,2.5,325.23,10.63,93.43,7.77,1.45,2508074.32,6.57,25.44404582,31.81797864,19.88052798,25.44404582,31.0975203,43.79539518,10.01405646,8.085231329,-19.43038837,157.5072582,2988.996925,168.3327992,0.653033528,2.776923513,0.853822074,2.0,2.0,2.0,2.0
1672,퍼시스,기타제조업,A016800,12,2020,Annual,498942807.0,219256258.0,10512854,22481308,90179494.0,498942807.0,38017302.0,34424483,4481165,6125,0,460925505.0,286852629.0,208272651.0,25718753,1899075,1865572,34048681,41294667,-17416655,-18237249,92.38,0.56,8.25,0.6,72.61,7.53,8.97,25718753.23,27.39,3.552226082,-13.99665424,-7.162600018,3.552226082,0.271072886,0.013960038,3.832468957,-5.872731373,2.370089958,0.266117468,75.20344468,-1484.0955,0.574920863,0.622340543,7.545317892,3.0,3.0,3.0,3.0
1673,퍼시스,기타제조업,A016800,12,2021,Annual,575484571.0,280928999.0,9001028,36597482,62460446.0,575484571.0,77976680.0,70588449,29243069,0,0,497507891.0,326505280.0,236619692.0,28653227,1974099,2697245,45100865,56099747,2527731,-10905188,86.45,0.3,15.67,0.34,72.47,9.41,8.78,28653226.54,27.53,15.34078915,28.12815541,-30.73763976,15.34078915,105.1084004,105.0530403,7.936724178,13.82335283,11.40986112,32.45994757,35.85228088,-114.5132978,0.567357139,0.656281611,4.187216999,2.0,4.0,3.0,3.0
1674,퍼시스,기타제조업,A016800,12,2022,Annual,544804538.0,215710486.0,13854060,46324959,73962276.0,544804538.0,71851941.0,65902722,21638256,84532,0,472952597.0,381251131.0,278206289.0,32658638,1699153,1607413,5876766,26431380,-46211517,-18056937,86.81,1.1,15.19,1.27,72.97,1.21,8.57,32658637.87,27.03,-5.331165169,-23.2153011,18.41458193,-5.331165169,-7.854577805,-6.638093153,-4.935659201,16.76721767,13.97891763,-86.96972663,-52.88502816,-1928.181757,0.699794338,0.806108547,5.306065858,1.0,2.0,1.0,1.0
1675,퍼시스,기타제조업,A016800,12,2023,Annual,597603860.0,259188806.0,17516485,41369075,74585950.0,597603860.0,67011502.0,62519925,20670710,97339,0,530592358.0,362905625.0,253235539.0,35235683,1725003,2396544,66895995,49969693,-41001917,-11402832,88.79,0.8,12.63,0.9,69.78,13.33,9.71,35235683.42,30.22,9.69142478,20.15586762,0.843232569,9.69142478,-6.736685095,-5.133015598,12.18721736,-4.811921725,7.890852644,1038.313062,89.05442319,-11.27338018,0.607267873,0.683963158,5.415572166,2.0,2.0,1.0,1.0
1676,페이퍼코리아,종이목재,A001020,12,2020,Annual,508899951.0,248973349.0,29559720,159663091,238635586.0,508899951.0,480849369.0,291387660,10886988,44899888,170299652,28050582.0,484064482.0,419929860.0,34611432,357298,1576074,241879,16600275,-15673484,-13371791,5.51,77.96,1714.22,1414.34,86.75,1.18,7.15,34611431.74,13.25,-18.94699187,-33.2330439,1.238608388,-18.94699187,-21.79014794,-13.11041701,115.0916191,82.22434774,-2766.23261,-100.8690296,-227.41909,10.15761266,0.951197737,17.25684273,1.006686321,2.0,3.0,2.0,2.0
1677,페이퍼코리아,종이목재,A001020,12,2021,Annual,497167643.0,241095269.0,35447748,135363271,239436085.0,497167643.0,451786536.0,195689650,20950872,29447802,236085444,45381108.0,435282696.0,372394022.0,31459196,358820,2785037,9246301,37310680,5233414,-15622529,9.13,76.71,995.54,840.41,85.55,25.18,7.23,31459196.42,14.45,-2.305425256,-3.164226224,0.335448293,-2.305425256,-6.044061794,-32.84216291,61.7831245,-10.0775388,-9.107499511,3722.696886,124.7594091,-133.3902405,0.875524991,9.591715918,0.963469828,3.0,2.0,3.0,3.0
