,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액,2012-2011사회차이,2013-2012사회차이,2014-2013사회차이,2015-2014사회차이,2016-2015사회차이,2017-2016사회차이,2018-2017사회차이
119,대한제당,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1790.0,KOSPI,음식료품,278059000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,대한제분,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1130.0,KOSPI,음식료품,221897000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,대한항공,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3490.0,KOSPI,운수창고업,7640580000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
122,대한화섬,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3830.0,KOSPI,화학,143822000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,더존비즈온,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,12510.0,KOSPI,서비스업,1637630000000.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
124,하이스틸,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,71090.0,KOSPI,철강금속,65824195460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,한국가스공사,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,36460.0,KOSPI,전기가스업,2372440000000.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,1.0
126,한국공항,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5430.0,KOSPI,운수창고업,216262000000.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
127,한국내화,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10040.0,KOSPI,비금속광물,114577000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,한국단자,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,25540.0,KOSPI,전기전자,655104000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,한국석유,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4090.0,KOSPI,비금속광물,203741000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,한국쉘석유,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2960.0,KOSPI,화학,350350000000.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
131,한국전력,6.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,15760.0,KOSPI,전기가스업,13417000000000.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,0.0
132,한국전자홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6200.0,KOSPI,기타금융,42731263168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,한국주철관,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,970.0,KOSPI,철강금속,147063000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,한국철강,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,104700.0,KOSPI,철강금속,514494000000.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0
136,한국카본,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17960.0,KOSPI,기계,573069000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,한국앤컴퍼니,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,240.0,KOSPI,기타금융,1471500000000.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
138,한국무브넥스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10100.0,KOSPI,운수장비,145858000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,한국화장품제조,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3350.0,KOSPI,화학,117379000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,한농화성,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11500.0,KOSPI,화학,276776000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,한독,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2390.0,KOSPI,의약품,183606000000.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1.0
142,한미글로벌,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,53690.0,KOSPI,서비스업,167431000000.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
143,한미반도체,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,42700.0,KOSPI,기계,12371800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
