,종목명,2011통합등급,2012통합등급,2013통합등급,2014통합등급,2015통합등급,2016통합등급,2017통합등급,2018통합등급,종목코드,시장구분,업종명,시가총액,2012-2011통합등급차이,2013-2012통합등급차이,2014-2013통합등급차이,2015-2014통합등급차이,2016-2015통합등급차이,2017-2016통합등급차이,2018-2017통합등급차이
206,TYM,3,3,3,3,3,3,3,3,2900.0,KOSPI,기계,210388000000.0,0,0,0,0,0,0,0
207,동양생명,3,3,3,3,4,4,3,3,82640.0,KOSPI,보험,855201000000.0,0,0,0,1,0,-1,0
208,동양철관,3,3,3,3,3,3,3,3,8970.0,KOSPI,철강금속,83100817710.0,0,0,0,0,0,0,0
209,동원F&B,3,3,3,3,3,3,3,3,49770.0,KOSPI,음식료품,749635000000.0,0,0,0,0,0,0,0
210,동원산업,3,3,3,3,3,3,4,3,6040.0,KOSPI,기타금융,1722180000000.0,0,0,0,0,0,1,-1
211,동화약품,3,3,3,3,3,3,3,3,20.0,KOSPI,의약품,243004000000.0,0,0,0,0,0,0,0
212,두산,5,6,6,5,5,5,5,6,150.0,KOSPI,기타금융,2204280000000.0,1,0,-1,0,0,0,1
213,HD현대인프라코어,4,6,5,5,5,5,5,6,42670.0,KOSPI,기계,1536950000000.0,2,-1,0,0,0,0,1
214,두산에너빌리티,4,5,6,5,5,5,5,5,34020.0,KOSPI,기계,10076000000000.0,1,1,-1,0,0,0,0
215,디씨엠,3,3,3,3,3,3,3,3,24090.0,KOSPI,철강금속,124260000000.0,0,0,0,0,0,0,0
216,디아이,3,3,3,3,3,3,3,3,3160.0,KOSPI,의료정밀,538549000000.0,0,0,0,0,0,0,0
217,디아이씨,3,3,3,3,3,3,3,3,92200.0,KOSPI,운수장비,240331000000.0,0,0,0,0,0,0,0
218,디와이,3,3,3,3,3,3,3,3,13570.0,KOSPI,기타금융,150285000000.0,0,0,0,0,0,0,0
