,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액,2012-2011지배구조차이,2013-2012지배구조차이,2014-2013지배구조차이,2015-2014지배구조차이,2016-2015지배구조차이,2017-2016지배구조차이,2018-2017지배구조차이
98,한국앤컴퍼니,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,240.0,KOSPI,기타금융,1471500000000.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
99,한국무브넥스,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,10100.0,KOSPI,운수장비,145858000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,한농화성,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11500.0,KOSPI,화학,276776000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,한독,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2390.0,KOSPI,의약품,183606000000.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
102,한미글로벌,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,53690.0,KOSPI,서비스업,167431000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,한샘,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9240.0,KOSPI,유통업,1195520000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,한솔로지스틱스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9180.0,KOSPI,운수창고업,62026222875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,한솔케미칼,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,14680.0,KOSPI,화학,2157090000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,한솔홀딩스,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4150.0,KOSPI,기타금융,115734000000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
107,한솔홈데코,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,25750.0,KOSPI,종이목재,60182166303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,한신공영,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4960.0,KOSPI,건설업,74631027900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,한신기계,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11700.0,KOSPI,기계,142763000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,한양증권,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1750.0,KOSPI,증권,130849000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,한온시스템,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18880.0,KOSPI,기계,2749070000000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,한익스프레스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14130.0,KOSPI,운수창고업,53760000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,한일철강,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2220.0,KOSPI,철강금속,64207391300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,한전KPS,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,51600.0,KOSPI,건설업,1539000000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,한전기술,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,52690.0,KOSPI,서비스업,2262620000000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
116,HJ중공업,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,97230.0,KOSPI,건설업,250656000000.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0
117,한화,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,880.0,KOSPI,화학,2001400000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,한화손해보험,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,370.0,KOSPI,보험,544587000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,한화솔루션,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,9830.0,KOSPI,화학,4314500000000.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0
120,한화에어로스페이스,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12450.0,KOSPI,운수장비,11138600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,HDC현대EP,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,89470.0,KOSPI,화학,130471000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
122,현대건설,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,720.0,KOSPI,건설업,3786100000000.0,-1.0,0.0,1.0,0.0,0.0,-1.0,1.0
123,현대글로비스,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,86280.0,KOSPI,운수창고업,6671250000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,현대리바트,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,79430.0,KOSPI,기타제조업,153193000000.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
125,현대모비스,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,12330.0,KOSPI,운수장비,22383600000000.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0
126,현대비앤지스틸,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4560.0,KOSPI,철강금속,303838000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,HMM,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,11200.0,KOSPI,운수창고업,11107300000000.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0
128,현대약품,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4310.0,KOSPI,의약품,121280000000.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0
