,종목명,2020사회,2021사회,2022사회,2023사회,2024사회,종목코드,시장구분,업종명,시가총액,2021-2020사회차이,2022-2021사회차이,2023-2022사회차이,2024-2023사회차이
121,넥센타이어,4.0,5.0,5.0,5.0,5.0,2350.0,KOSPI,화학,899521000000.0,1.0,0.0,0.0,0.0
122,노루페인트,3.0,6.0,6.0,6.0,6.0,90350.0,KOSPI,화학,181400000000.0,3.0,0.0,0.0,0.0
123,노루홀딩스,3.0,6.0,6.0,6.0,6.0,320.0,KOSPI,기타금융,149658000000.0,3.0,0.0,0.0,0.0
124,녹십자,5.0,4.0,5.0,5.0,5.0,6280.0,KOSPI,의약품,1308890000000.0,-1.0,1.0,0.0,0.0
125,녹십자홀딩스,4.0,4.0,5.0,5.0,5.0,5250.0,KOSPI,서비스업,738813000000.0,0.0,1.0,0.0,0.0
126,농심,5.0,5.0,5.0,5.0,5.0,4370.0,KOSPI,음식료품,2405680000000.0,0.0,0.0,0.0,0.0
127,농심홀딩스,4.0,5.0,4.0,5.0,5.0,72710.0,KOSPI,기타금융,304239000000.0,1.0,-1.0,1.0,0.0
128,다우기술,4.0,5.0,5.0,6.0,6.0,23590.0,KOSPI,서비스업,847979000000.0,1.0,0.0,1.0,0.0
129,키다리스튜디오,3.0,3.0,1.0,1.0,1.0,20120.0,KOSPI,서비스업,165970000000.0,0.0,-2.0,0.0,0.0
130,KIB플러그에너지,2.0,2.0,2.0,1.0,1.0,15590.0,KOSPI,기계,103087000000.0,0.0,0.0,-1.0,0.0
131,대교,4.0,4.0,4.0,4.0,4.0,19680.0,KOSPI,서비스업,209640000000.0,0.0,0.0,0.0,0.0
132,대구백화점,3.0,4.0,1.0,2.0,2.0,6370.0,KOSPI,유통업,78132031420.0,1.0,-3.0,1.0,0.0
133,대동,3.0,3.0,2.0,5.0,5.0,490.0,KOSPI,기계,302818000000.0,0.0,-1.0,3.0,0.0
134,대동전자,2.0,2.0,1.0,1.0,1.0,8110.0,KOSPI,전기전자,117283000000.0,0.0,-1.0,0.0,0.0
135,대림B&Co,3.0,2.0,1.0,2.0,2.0,5750.0,KOSPI,비금속광물,66355515200.0,-1.0,-1.0,1.0,0.0
136,DL,4.0,6.0,6.0,5.0,5.0,210.0,KOSPI,화학,1058270000000.0,2.0,0.0,-1.0,0.0
137,대림통상,3.0,2.0,1.0,2.0,2.0,6570.0,KOSPI,기계,44761500000.0,-1.0,-1.0,1.0,0.0
138,대상,4.0,6.0,6.0,6.0,6.0,1680.0,KOSPI,음식료품,758792000000.0,2.0,0.0,0.0,0.0
