,종목명,2020환경,2021환경,2022환경,2023환경,2024환경,종목코드,시장구분,업종명,시가총액
712,HL홀딩스,B,B,B+,A,A,60980.0,KOSPI,기타금융,343726000000.0
713,한미약품,B+,B+,B,A,A,128940.0,KOSPI,의약품,4016250000000.0
714,한세엠케이,C,D,C,B,B,69640.0,KOSPI,유통업,64277381770.0
715,한전산업,B,B,C,C,C,130660.0,KOSPI,서비스업,230156000000.0
716,한화생명,A,A+,A,A,A,88350.0,KOSPI,보험,2410170000000.0
719,현대위아,A,A,A,A+,A+,11210.0,KOSPI,운수장비,1558280000000.0
720,현대홈쇼핑,A,A,A,A,A,57050.0,KOSPI,유통업,684000000000.0
721,휠라홀딩스,B,B+,B,A,A,81660.0,KOSPI,유통업,2460460000000.0
722,GS리테일,C,A,B+,A+,A+,7070.0,KOSPI,유통업,2043050000000.0
723,메리츠금융지주,D,D,C,B,B,138040.0,KOSPI,기타금융,15456900000000.0
724,미원화학,C,C,C,C,C,134380.0,KOSPI,화학,155488000000.0
725,선진,D,B,C,C,C,136490.0,KOSPI,음식료품,176920000000.0
726,인터지스,B,B,C,C,C,129260.0,KOSPI,운수창고업,68122631460.0
727,제주은행,C,B,A,B+,B+,6220.0,KOSPI,은행,491892000000.0
728,시디즈,D,C,D,C,C,134790.0,KOSPI,기타제조업,59000000000.0
729,한국종합기술,B,B,D,C,C,23350.0,KOSPI,서비스업,59349000000.0
731,LG헬로비전,D,C,B,B+,B+,37560.0,KOSPI,서비스업,254413000000.0
732,대한해운,C,D,C,B,B,5880.0,KOSPI,운수창고업,576754000000.0
733,동일고무벨트,B,B,C,A,A,163560.0,KOSPI,화학,111339000000.0
734,사조씨푸드,D,C,D,B,B,14710.0,KOSPI,음식료품,58198675340.0
735,애경케미칼,B+,B,B+,A,A,161000.0,KOSPI,화학,586217000000.0
736,지엠비코리아,C,C,D,D,D,13870.0,KOSPI,운수장비,80771105800.0
738,한국콜마,B,B+,B+,A,A,161890.0,KOSPI,화학,1156650000000.0
739,한국타이어앤테크놀로지,A,B+,B,B+,B+,161390.0,KOSPI,화학,7209530000000.0
740,휴비스,B+,B+,B+,B+,B+,79980.0,KOSPI,화학,127650000000.0
741,DSR,B,B,D,C,C,155660.0,KOSPI,철강금속,66160000000.0
742,JB금융지주,A,A,A,A+,A+,175330.0,KOSPI,기타금융,2450240000000.0
743,NHN,D,C,B+,B+,B+,181710.0,KOSPI,서비스업,771556000000.0
744,동아에스티,D,B+,B,B+,B+,170900.0,KOSPI,의약품,611349000000.0
745,한진칼,B,A,A,A,A,180640.0,KOSPI,운수창고업,3925620000000.0
746,현대로템,B,A,A,A,A,64350.0,KOSPI,운수장비,4376610000000.0
747,신송홀딩스,D,D,D,D,D,6880.0,KOSPI,유통업,88479857840.0
748,아세아시멘트,B+,B+,B,B+,B+,183190.0,KOSPI,비금속광물,386944000000.0
749,종근당,C,A,B+,A,A,185750.0,KOSPI,의약품,1343790000000.0
750,AJ네트웍스,D,D,C,C,C,95570.0,KOSPI,서비스업,213593000000.0
751,BGF,B,A,A,A,A,27410.0,KOSPI,기타금융,351281000000.0
753,디와이파워,D,C,D,C,C,210540.0,KOSPI,기계,141223000000.0
754,HL만도,A,B+,A,B+,B+,204320.0,KOSPI,운수장비,1537850000000.0
755,미래에셋생명,D,C,B,B,B,85620.0,KOSPI,보험,873575000000.0
756,코스맥스,B+,A,B+,A,A,192820.0,KOSPI,화학,1503810000000.0
