,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액
182,대한항공,B+,B,B+,B+,D,C,B+,B,3490.0,KOSPI,운수창고업,7640580000000.0
183,대한화섬,C,C,C,B,B,B,B,B,3830.0,KOSPI,화학,143822000000.0
184,대현,B+,B,B,B+,B,B,B,B,16090.0,KOSPI,섬유의복,84667776720.0
185,대호에이엘,B,C,C,C,C,B,B,C,69460.0,KOSPI,철강금속,75582738624.0
186,더존비즈온,B,C,C,C,B,B,B,B,12510.0,KOSPI,서비스업,1637630000000.0
187,덕성,B,B,B,C,C,C,B,C,4830.0,KOSPI,화학,125440000000.0
188,덕양산업,C,B,C,C,B,B,B,C,24900.0,KOSPI,운수장비,169989000000.0
190,케이비아이동국실업,C,C,C,C,C,C,C,C,1620.0,KOSPI,운수장비,64661251011.0
191,하이스틸,B,B,B,B,B,B,B,B,71090.0,KOSPI,철강금속,65824195460.0
192,하이트론,B,B,B,B,B,B,B,B,19490.0,KOSPI,전기전자,36143092216.0
194,하이트진로,B,B+,B,B+,B,C,B,C,80.0,KOSPI,음식료품,1476310000000.0
195,하이트진로홀딩스,B+,B,B+,B,B,B+,B+,B,140.0,KOSPI,기타금융,208861000000.0
196,한국가스공사,A,B+,B+,A,B+,B+,B+,B+,36460.0,KOSPI,전기가스업,2372440000000.0
198,한국공항,C,C,C,C,D,C,C,C,5430.0,KOSPI,운수창고업,216262000000.0
199,한국금융지주,A,A,A,A,A,A+,A,B+ 이하,71050.0,KOSPI,기타금융,3672340000000.0
200,한국내화,B,B,B,C,B,C,C,D,10040.0,KOSPI,비금속광물,114577000000.0
201,한국단자,B,B,B,B,B,B,B+,B,25540.0,KOSPI,전기전자,655104000000.0
202,한국석유,B,B,B,B,B,B,B,C,4090.0,KOSPI,비금속광물,203741000000.0
203,한국수출포장,B,B,B,B,B,B,B,B,2200.0,KOSPI,종이목재,105800000000.0
204,한국쉘석유,B,B,B+,B+,B+,B+,B+,B+,2960.0,KOSPI,화학,350350000000.0
207,한국전력,A,B+,B+,A,B+,C,B+,B+,15760.0,KOSPI,전기가스업,13417000000000.0
208,한국전자홀딩스,B,B,C,C,B,B,C,C,6200.0,KOSPI,기타금융,42731263168.0
209,한국제지,B,B,B,B,C,B,B,B,27970.0,KOSPI,종이목재,194743000000.0
210,한국주강,B,C,C,C,C,C,C,C,25890.0,KOSPI,기계,26859490125.0
211,한국주철관,B,B,C,B,C,C,B,D,970.0,KOSPI,철강금속,147063000000.0
212,한국철강,B+,B+,B+,B+,B,C,B,B,104700.0,KOSPI,철강금속,514494000000.0
213,한국카본,B,B,B,B,C,C,C,B,17960.0,KOSPI,기계,573069000000.0
215,한국앤컴퍼니,B+,B+,B+,B+,B,A,B+,C,240.0,KOSPI,기타금융,1471500000000.0
217,한국무브넥스,B,B,C,C,C,C,B,C,10100.0,KOSPI,운수장비,145858000000.0
218,한국화장품제조,C,C,C,B,B,B,B,C,3350.0,KOSPI,화학,117379000000.0
219,한농화성,B,B,B,B,B,B,B,B,11500.0,KOSPI,화학,276776000000.0
220,한독,B+,B+,B+,B+,B,B,B+,B+,2390.0,KOSPI,의약품,183606000000.0
222,한미글로벌,B,B,B,B,B,B,B,B,53690.0,KOSPI,서비스업,167431000000.0
223,한미반도체,B+,B,B+,B,C,B,B,B,42700.0,KOSPI,기계,12371800000000.0
224,한미사이언스,B,B,B,B,B,C,D,C,8930.0,KOSPI,기타금융,2298090000000.0
225,한샘,B,B,B+,B+,B+,B+,C,B,9240.0,KOSPI,유통업,1195520000000.0
226,한섬,B,B,B,B,B,B+,B,B+,20000.0,KOSPI,섬유의복,446911000000.0
227,한성기업,C,C,C,C,C,C,C,C,3680.0,KOSPI,음식료품,31979002250.0
228,한세실업,B,B,B,B+,B+,B+,B+,B,105630.0,KOSPI,섬유의복,854000000000.0
229,한세예스24홀딩스,B,B,B,B,B,B,C,C,16450.0,KOSPI,섬유의복,187200000000.0
230,한솔로지스틱스,C,C,C,C,C,B,B,B,9180.0,KOSPI,운수창고업,62026222875.0
232,한솔케미칼,B,B,C,B+,B+,B,B+,B+,14680.0,KOSPI,화학,2157090000000.0
233,한솔테크닉스,B,C,B,B,C,B,B+,B,4710.0,KOSPI,전기전자,176604000000.0
234,한솔PNS,C,C,C,C,C,B,B,C,10420.0,KOSPI,유통업,25226897772.0
235,한솔홀딩스,B+,B,B,B,B,B,B,B+,4150.0,KOSPI,기타금융,115734000000.0
236,한솔홈데코,C,C,C,C,C,C,B,B+,25750.0,KOSPI,종이목재,60182166303.0
237,한신공영,B,B,B,B,B,C,C,B,4960.0,KOSPI,건설업,74631027900.0
238,한신기계,B,B,B,C,C,B,B,B,11700.0,KOSPI,기계,142763000000.0
239,한양증권,B+,B+,B+,B,B+,B+,B+,B+ 이하,1750.0,KOSPI,증권,130849000000.0
240,한온시스템,C,B,C,C,C,B,B,B+,18880.0,KOSPI,기계,2749070000000.0
241,한올바이오파마,B,B,B,B,B,C,B+,B,9420.0,KOSPI,의약품,1810140000000.0
242,한익스프레스,B,C,C,B,B,B,B,B,14130.0,KOSPI,운수창고업,53760000000.0
244,한일시멘트,B,B,B,B,B,C,B,D,300720.0,KOSPI,비금속광물,873388000000.0
245,한일철강,C,B,C,C,C,C,C,C,2220.0,KOSPI,철강금속,64207391300.0
246,한전KPS,B,B,B,B,B,B,B,B+,51600.0,KOSPI,건설업,1539000000000.0
247,한전기술,B,B,B,B,B,B,B,B,52690.0,KOSPI,서비스업,2262620000000.0
248,한진,B,C,B,C,C,C,B,B,2320.0,KOSPI,운수창고업,316142000000.0
249,HJ중공업,B+,B,B,B,B,C,C,C,97230.0,KOSPI,건설업,250656000000.0
250,한진중공업홀딩스,B+,B+,B+,B+,B,B,B+,B+,3480.0,KOSPI,전기가스업,101730000000.0
252,한창,C,C,C,D,D,C,C,C,5110.0,KOSPI,유통업,23332434378.0
253,한창제지,B,B,B,B,C,C,C,C,9460.0,KOSPI,종이목재,49285343436.0
254,한화,A,B,D,B+,B+,B+,A,A,880.0,KOSPI,화학,2001400000000.0
256,한화손해보험,B+,B+,B,B+,B,A,A,B+ 이하,370.0,KOSPI,보험,544587000000.0
257,한화솔루션,B+,B,B,B,C,B,C,B+,9830.0,KOSPI,화학,4314500000000.0
258,한화에어로스페이스,B+,B+,B+,B+,B+,B+,B+,B,12450.0,KOSPI,운수장비,11138600000000.0
259,한화투자증권,B+,B,B+,B,B,A,A,B+ 이하,3530.0,KOSPI,증권,736972000000.0
262,HDC현대EP,B,B,C,C,B,C,B,C,89470.0,KOSPI,화학,130471000000.0
263,현대건설,B+,B+,B+,B+,B,B,D,B+,720.0,KOSPI,건설업,3786100000000.0
264,현대그린푸드,B,B,B,B+,B+,B+,B+,B+,453340.0,KOSPI,유통업,406910000000.0
265,현대글로비스,B,B,B+,B+,B,B,B+,B+,86280.0,KOSPI,운수창고업,6671250000000.0
266,현대리바트,B,B,C,B,B+,B+,B+,B+,79430.0,KOSPI,기타제조업,153193000000.0
267,현대모비스,B+,B+,B+,B+,C,C,C,B,12330.0,KOSPI,운수장비,22383600000000.0
268,HD현대미포,B,B,B+,B+,B+,B+,B+,B+,10620.0,KOSPI,운수장비,2923770000000.0
269,현대백화점,B+,B+,B,B+,B+,B+,B+,B+,69960.0,KOSPI,유통업,1170120000000.0
270,현대비앤지스틸,B,C,C,C,B,D,C,C,4560.0,KOSPI,철강금속,303838000000.0
272,HMM,A,B,B+,B,D,D,B+,B,11200.0,KOSPI,운수창고업,11107300000000.0
274,현대약품,B+,B+,B,B+,B+,B,B+,B,4310.0,KOSPI,의약품,121280000000.0
275,현대엘리베이,B+,B+,B+,B,D,C,B+,B+,17800.0,KOSPI,기계,1581290000000.0
276,현대차,A,A,B+,B+,C,C,B,B,5380.0,KOSPI,운수장비,51307000000000.0
277,현대제철,B+,B+,B+,B+,B,C,B,C,4020.0,KOSPI,철강금속,4276940000000.0
278,현대코퍼레이션,B,B,B+,B+,C,B,B,C,11760.0,KOSPI,유통업,218543000000.0
279,HD현대중공업,A,B+,B+,A,B+,B+,B+,B+,329180.0,KOSPI,운수장비,10883600000000.0
280,현대차증권,B,B,B,B,A,A,A,B+ 이하,1500.0,KOSPI,증권,274314000000.0
283,현대해상,A,A,A,A,A,A+,A,A,1450.0,KOSPI,보험,2749050000000.0
284,형지엘리트,B,B,C,C,C,C,C,C,93240.0,KOSPI,섬유의복,37697305580.0
285,혜인,C,B,B,B,C,B,B,C,3010.0,KOSPI,유통업,69284471150.0
286,호텔신라,B,B,C,C,B,B,B+,A,8770.0,KOSPI,유통업,2276390000000.0
287,화성산업,B+,B+,B+,B+,B+,B+,B+,B+,2460.0,KOSPI,건설업,101297000000.0
288,화승알앤에이,B,B,C,C,C,B,B+,B,378850.0,KOSPI,운수장비,74265065930.0
289,화승인더,C,C,C,C,C,C,B,D,6060.0,KOSPI,화학,221003000000.0
290,화신,C,C,C,B,C,C,D,C,10690.0,KOSPI,운수장비,367363000000.0
291,화천기계,B,B,B,B,C,B,B,C,10660.0,KOSPI,기계,80960000000.0
292,화천기공,B,B,B,B,B,B,B,B,850.0,KOSPI,기계,66880000000.0
293,환인제약,B,B+,B+,B+,B,B+,B+,B+,16580.0,KOSPI,의약품,256495000000.0
294,황금에스티,B,B,B,B,B,B,B,C,32560.0,KOSPI,철강금속,116280000000.0
295,효성,B+,B+,B+,B,C,D,D,C,4800.0,KOSPI,기타금융,1224230000000.0
