,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
275,현대엘리베이,B+,B이하,B+,B+,B+,B+,A,A,17800.0,KOSPI,기계,1581290000000.0
276,현대차,A+,A,A,B+,B+,A,B+,B+,5380.0,KOSPI,운수장비,51307000000000.0
277,현대제철,A,A,B+,A,B+,B이하,B이하,A,4020.0,KOSPI,철강금속,4276940000000.0
279,HD현대중공업,B이하,B이하,A,B+,B이하,A+,B이하,B+,329180.0,KOSPI,운수장비,10883600000000.0
283,현대해상,A,A,A,A,A,B+,A,A+,1450.0,KOSPI,보험,2749050000000.0
284,형지엘리트,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,93240.0,KOSPI,섬유의복,37697305580.0
285,혜인,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3010.0,KOSPI,유통업,69284471150.0
286,호텔신라,B이하,B이하,B이하,B이하,B이하,B이하,B+,A,8770.0,KOSPI,유통업,2276390000000.0
287,화성산업,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,2460.0,KOSPI,건설업,101297000000.0
288,화승알앤에이,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,378850.0,KOSPI,운수장비,74265065930.0
289,화승인더,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6060.0,KOSPI,화학,221003000000.0
290,화신,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10690.0,KOSPI,운수장비,367363000000.0
291,화천기계,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10660.0,KOSPI,기계,80960000000.0
292,화천기공,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,850.0,KOSPI,기계,66880000000.0
293,환인제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,16580.0,KOSPI,의약품,256495000000.0
294,황금에스티,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,32560.0,KOSPI,철강금속,116280000000.0
295,효성,B이하,B이하,B+,B+,B+,B+,A,B+,4800.0,KOSPI,기타금융,1224230000000.0
296,효성ITX,B이하,B이하,B+,B+,B이하,B+,B이하,B+,94280.0,KOSPI,서비스업,144478000000.0
297,후성,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,93370.0,KOSPI,화학,748212000000.0
298,휴니드,B+,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5870.0,KOSPI,전기전자,103753000000.0
300,TKG휴켐스,B이하,B+,B+,B+,B이하,B+,B+,B이하,69260.0,KOSPI,화학,791001000000.0
301,흥국화재,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,540.0,KOSPI,보험,260825000000.0
302,흥아해운,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3280.0,KOSPI,운수창고업,688817000000.0
303,동국제강,B이하,B이하,B이하,B이하,B이하,B+,B+,B이하,460860.0,KOSPI,철강금속,557594000000.0
305,동방,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4140.0,KOSPI,운수창고업,106497000000.0
306,동방아그로,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7590.0,KOSPI,화학,85654559330.0
308,KG스틸,B+,B+,B+,B이하,B+,B이하,B이하,B이하,16380.0,KOSPI,철강금속,696062000000.0
309,동성제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2210.0,KOSPI,의약품,136769000000.0
310,동성케미컬,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,102260.0,KOSPI,서비스업,223604000000.0
312,동아쏘시오홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,640.0,KOSPI,기타금융,721871000000.0
313,다스코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,58730.0,KOSPI,기계,65852614695.0
314,동아지질,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,28100.0,KOSPI,건설업,172707000000.0
316,동양고속,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,84670.0,KOSPI,운수창고업,33588600400.0
317,TYM,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2900.0,KOSPI,기계,210388000000.0
318,동양생명,B이하,B이하,B이하,B이하,B+,B이하,B이하,B+,82640.0,KOSPI,보험,855201000000.0
319,동양철관,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8970.0,KOSPI,철강금속,83100817710.0
321,동원F&B,B이하,B이하,B이하,B이하,B이하,B+,A,B이하,49770.0,KOSPI,음식료품,749635000000.0
323,동원산업,B이하,B이하,B이하,B이하,B+,B이하,A,B이하,6040.0,KOSPI,기타금융,1722180000000.0
329,동화약품,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,20.0,KOSPI,의약품,243004000000.0
330,두산,A,A+,A,A,A,A,A+,A+,150.0,KOSPI,기타금융,2204280000000.0
332,HD현대인프라코어,B+,A+,A+,A+,A,A+,A+,A+,42670.0,KOSPI,기계,1536950000000.0
333,두산에너빌리티,B+,A+,A+,A,A,B+,A,A+,34020.0,KOSPI,기계,10076000000000.0
334,디씨엠,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,24090.0,KOSPI,철강금속,124260000000.0
335,디아이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3160.0,KOSPI,의료정밀,538549000000.0
336,디아이씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,92200.0,KOSPI,운수장비,240331000000.0
337,디와이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13570.0,KOSPI,기타금융,150285000000.0
338,DN오토모티브,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7340.0,KOSPI,전기전자,790526000000.0
339,스틱인베스트먼트,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,26890.0,KOSPI,기타금융,360099000000.0
