,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액
262,HDC현대EP,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,89470.0,KOSPI,화학,130471000000.0
263,현대건설,A,B+,B+,A,A,A,B+,A,720.0,KOSPI,건설업,3786100000000.0
265,현대글로비스,B이하,B이하,B이하,B이하,B+,B+,B+,B+,86280.0,KOSPI,운수창고업,6671250000000.0
266,현대리바트,B이하,B이하,B+,B이하,B이하,B이하,B이하,B이하,79430.0,KOSPI,기타제조업,153193000000.0
267,현대모비스,B+,B+,B+,A,B+,A,A,A,12330.0,KOSPI,운수장비,22383600000000.0
270,현대비앤지스틸,B이하,B이하,B이하,B+,B+,B+,B+,B+,4560.0,KOSPI,철강금속,303838000000.0
272,HMM,A,B+,B+,B+,B+,B+,B이하,B+,11200.0,KOSPI,운수창고업,11107300000000.0
274,현대약품,B이하,B+,B이하,B+,B이하,B이하,B이하,B이하,4310.0,KOSPI,의약품,121280000000.0
275,현대엘리베이,B이하,B+,B이하,B이하,B이하,A,A,A,17800.0,KOSPI,기계,1581290000000.0
276,현대차,A,A,A,B이하,B+,A,B+,A,5380.0,KOSPI,운수장비,51307000000000.0
277,현대제철,B+,A,B+,B+,B+,B+,B+,B+,4020.0,KOSPI,철강금속,4276940000000.0
279,HD현대중공업,B+,B+,A,A,A,A,A,A,329180.0,KOSPI,운수장비,10883600000000.0
283,현대해상,B+,B이하,B이하,B+,B이하,B이하,B+,A,1450.0,KOSPI,보험,2749050000000.0
284,형지엘리트,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,93240.0,KOSPI,섬유의복,37697305580.0
286,호텔신라,B이하,B이하,B이하,B이하,B+,B이하,B이하,B+,8770.0,KOSPI,유통업,2276390000000.0
288,화승알앤에이,B이하,B+,B+,B+,B+,B+,B+,B+,378850.0,KOSPI,운수장비,74265065930.0
289,화승인더,B이하,B이하,B+,B이하,B+,B+,B+,B+,6060.0,KOSPI,화학,221003000000.0
291,화천기계,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10660.0,KOSPI,기계,80960000000.0
295,효성,B+,B+,B+,B이하,B+,A,B+,B+,4800.0,KOSPI,기타금융,1224230000000.0
297,후성,B이하,B이하,B이하,B이하,B+,B+,B+,B+,93370.0,KOSPI,화학,748212000000.0
298,휴니드,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5870.0,KOSPI,전기전자,103753000000.0
299,휴스틸,B이하,B+,B이하,B+,B+,B+,B이하,B이하,5010.0,KOSPI,철강금속,251161000000.0
300,TKG휴켐스,B+,B+,B+,B+,B+,A,B+,B+,69260.0,KOSPI,화학,791001000000.0
303,동국제강,B이하,B+,B+,B+,B+,B+,B+,B+,460860.0,KOSPI,철강금속,557594000000.0
305,동방,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4140.0,KOSPI,운수창고업,106497000000.0
308,KG스틸,B+,B+,B+,B+,B+,A,A,B+,16380.0,KOSPI,철강금속,696062000000.0
312,동아쏘시오홀딩스,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,640.0,KOSPI,기타금융,721871000000.0
313,다스코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,58730.0,KOSPI,기계,65852614695.0
314,동아지질,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,28100.0,KOSPI,건설업,172707000000.0
317,TYM,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,2900.0,KOSPI,기계,210388000000.0
319,동양철관,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8970.0,KOSPI,철강금속,83100817710.0
321,동원F&B,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,49770.0,KOSPI,음식료품,749635000000.0
322,동원금속,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,18500.0,KOSPI,운수장비,76865109852.0
325,동원시스템즈,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,14820.0,KOSPI,화학,1174150000000.0
327,동일산업,B이하,B+,B이하,B+,B+,B+,B+,B+,4890.0,KOSPI,철강금속,105012000000.0
329,동화약품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,20.0,KOSPI,의약품,243004000000.0
330,두산,A,A+,A+,A,A,A,A,A+,150.0,KOSPI,기타금융,2204280000000.0
332,HD현대인프라코어,A,A+,A,A,A,A,A+,A+,42670.0,KOSPI,기계,1536950000000.0
333,두산에너빌리티,B이하,A,A+,A,A,A,A,A,34020.0,KOSPI,기계,10076000000000.0
335,디아이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,3160.0,KOSPI,의료정밀,538549000000.0
336,디아이씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,92200.0,KOSPI,운수장비,240331000000.0
337,디와이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13570.0,KOSPI,기타금융,150285000000.0
344,롯데쇼핑,A,A,A,A,A,A,A,A,23530.0,KOSPI,유통업,1892520000000.0
345,롯데정밀화학,B+,B+,B이하,B+,B+,A,A,A,4000.0,KOSPI,화학,1111980000000.0
347,롯데칠성,B이하,B+,B+,B+,A,A,A,B+,5300.0,KOSPI,음식료품,1183060000000.0
348,롯데케미칼,A,A+,A,A+,A+,A,A,B+,11170.0,KOSPI,화학,4290370000000.0
357,모나미,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5360.0,KOSPI,유통업,51117215435.0
358,모토닉,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9680.0,KOSPI,운수장비,274560000000.0
359,무림P&P,B이하,B이하,B+,B+,B+,B+,B이하,B+,9580.0,KOSPI,종이목재,190535000000.0
360,무림페이퍼,B이하,B+,B+,B+,B+,B+,B+,B+,9200.0,KOSPI,종이목재,89251969950.0
362,미래산업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25560.0,KOSPI,의료정밀,66641196300.0
366,미원상사,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2840.0,KOSPI,화학,907725000000.0
367,미원홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,107590.0,KOSPI,기타금융,179336000000.0
369,방림,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,3610.0,KOSPI,섬유의복,88224877650.0
371,백광산업,B이하,B+,B+,B+,B+,B+,B+,B+,1340.0,KOSPI,화학,360246000000.0
373,백산,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,35150.0,KOSPI,화학,297198000000.0
376,보락,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,2760.0,KOSPI,화학,67567200000.0
385,부산주공,B이하,B이하,B이하,B+,B+,B+,B+,B이하,5030.0,KOSPI,운수장비,38288532168.0
389,사조동아원,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8040.0,KOSPI,음식료품,136487000000.0
394,삼성SDI,A+,A+,A+,A,A+,A,A,A,6400.0,KOSPI,전기전자,28984200000000.0
395,삼성공조,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6660.0,KOSPI,운수장비,73543141700.0
396,삼성물산,A,A,A,A,B+,A,A,A+,28260.0,KOSPI,유통업,27356200000000.0
397,삼성E&A,B이하,B이하,B+,A,A,A,A,A,28050.0,KOSPI,서비스업,5154800000000.0
398,삼성전기,A+,A+,A+,A+,A,A+,A+,A,9150.0,KOSPI,전기전자,10823100000000.0
399,삼성전자,A+,A,A,A,A+,A,A,A,5930.0,KOSPI,전기전자,454300000000000.0
401,삼성중공업,B+,B+,B+,A,B+,A,B+,A,10140.0,KOSPI,운수장비,8342400000000.0
402,삼성증권,B+,B+,B이하,B이하,B이하,B이하,B이하,B이하,16360.0,KOSPI,증권,3344290000000.0
405,삼성화재,B+,B+,A,A,A,A,A,A+,810.0,KOSPI,보험,14236100000000.0
406,삼아알미늄,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,6110.0,KOSPI,철강금속,1119580000000.0
411,삼양통상,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,2170.0,KOSPI,기타제조업,148800000000.0
412,삼양홀딩스,B+,B+,B이하,B이하,B이하,B이하,B이하,B이하,70.0,KOSPI,기타금융,586653000000.0
421,삼천리,B이하,B이하,B이하,B+,B+,B+,B+,B+,4690.0,KOSPI,전기가스업,369818000000.0
424,삼화왕관,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4450.0,KOSPI,기계,70448193300.0
425,삼화전기,B이하,B이하,B이하,B+,B이하,B이하,B이하,B이하,9470.0,KOSPI,전기전자,251325000000.0
426,삼화전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11230.0,KOSPI,전기전자,67526286500.0
427,삼화콘덴서,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1820.0,KOSPI,전기전자,466736000000.0
428,삼화페인트,B이하,B+,B이하,B+,B+,B+,B+,B+,390.0,KOSPI,화학,202666000000.0
430,상신브레이크,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,41650.0,KOSPI,운수장비,82020939000.0
431,새론오토모티브,B이하,B+,B+,B+,B+,B+,B+,B+,75180.0,KOSPI,운수장비,72960000000.0
